,R,Q,A
2021,1.935518503329348,3,1
3951,10.523314560745266,2,1
3341,12.85199579139842,1,1
799,9.52314348029448,2,0
6495,7.763201259727468,2,0
5426,3.594415791038286,1,0
5640,3.6668189267464797,0,1
5399,5.354650847314716,3,1
7960,3.865387551681347,1,0
9913,0.6997136074500991,1,0
428,2.9858741551264205,1,0
8772,12.965044261499116,2,1
4463,10.430161988497463,1,1
7735,6.914952527602283,1,1
6218,6.136976957184384,1,0
7972,5.064170149177428,0,1
9530,8.178160158542797,0,1
7489,6.507505519101491,1,1
5027,11.373410945882393,1,0
6833,-0.07108511782012916,3,1
8926,10.154917330936598,3,0
8223,9.133082298654541,1,1
9861,6.4612102625809555,1,1
7955,9.587384715030758,2,0
5999,5.423822051906439,1,0
7652,6.79734536591777,1,0
8120,7.082394813038601,2,0
1617,11.385465499632101,2,1
4603,3.117473195038813,1,0
5863,3.0057709254608524,3,0
3305,5.160181604507018,2,0
6235,7.015070568237263,1,0
3740,8.394220504921554,1,1
2582,4.156610387726937,1,0
2788,10.40124502445334,1,0
8649,1.1504587903226822,3,1
5829,6.402929837242172,3,0
3571,1.1294244893906633,2,1
8291,15.551438902132823,1,0
4469,4.853036294563522,3,0
2770,4.802613300382107,2,1
8777,9.424817355624864,2,1
256,4.787935482770691,1,0
2334,4.978495977371066,1,0
604,5.579060457821903,3,1
4562,10.313920837192512,3,1
8903,10.249247472679961,2,0
2002,1.5713547707787425,2,1
4512,7.370009268346761,3,1
9413,9.967182629826992,1,0
4926,3.767981050963969,2,1
8595,3.741230350120029,1,1
3612,8.397397388955527,2,1
1483,2.7577911190489237,0,0
6099,1.442327064878374,0,0
7543,1.1688293692742309,1,0
5814,1.6248391614991378,1,0
2614,6.213604375277218,2,0
2846,4.033924976046658,3,1
6936,5.906758349975017,1,0
3155,2.506958698895708,1,1
3150,3.60560988782419,0,0
6179,0.6237435920068249,3,0
4679,21.834434298988164,1,1
1157,10.76213361322365,1,1
995,14.857264047609462,1,0
1964,0.22307734293677972,2,1
9792,0.826481292827316,0,1
3821,14.809042787210915,1,1
8009,2.4761665936693045,2,0
6060,3.2314111105608303,1,1
4730,2.250428746583184,2,1
6432,1.4343563068333118,2,0
4776,10.693907463858615,2,1
2154,12.57141061355821,1,0
