,R,Q,A
8401,1.4908459724966563,1,1
3169,13.070569075208958,2,0
1083,8.119736710572171,2,0
6244,4.5235185240509,1,1
1893,0.7105959101254583,2,1
418,7.16004212951095,1,0
4111,8.119311519477662,2,0
5444,12.443917307494022,1,0
5593,0.40983188083293554,2,1
7595,1.5501580882290424,1,1
4003,2.640820524768584,2,1
2893,5.25058515085534,1,1
8357,13.25838941937169,2,0
6457,5.0779673392273486,3,1
5802,2.1718053003490003,2,1
5532,3.7243971809751786,1,0
1017,5.081330050928975,0,0
3217,6.6487773866385655,2,0
5351,7.98725333353309,2,0
3075,8.822241880968683,2,0
3865,4.356369281315401,1,0
1025,4.711573800253006,2,1
4943,10.761112747546665,2,0
3421,5.488545692010039,0,1
8071,5.467134575629011,2,1
5535,6.386657536650456,2,1
2346,5.462135764435939,3,1
5566,1.1788132865684817,2,0
7994,2.387938337232832,1,1
4499,1.6962123020269042,0,1
7767,2.29447394385926,3,0
8087,3.671145067784292,1,0
5467,5.963703496156171,0,1
7006,0.26654230361014947,1,1
1649,2.3149929569874415,1,1
2075,0.7877875634314715,1,1
2181,3.1886304744570007,1,1
3816,2.157125359265291,1,1
2240,2.8402587622994977,1,0
8282,6.353751123179521,2,0
5914,1.4987910081723805,2,0
1489,4.583525048784622,1,0
4830,1.0933475081203559,2,1
4670,2.176245687383975,0,1
6713,3.5612226945282233,2,0
1269,6.327141147829955,2,1
3208,0.47410521438365305,3,1
5247,5.005685258608872,2,0
6693,2.8133908166956028,3,0
7831,1.1465813112073002,0,1
3160,7.065467349729111,0,1
3073,4.715388482120655,1,0
7171,4.8291419341237445,0,0
6393,3.5403363573746285,3,1
303,6.778237027764629,3,0
3674,3.319846454044667,2,0
1927,3.0456565034809433,0,0
5156,6.293500578250315,1,1
5727,15.067320068905303,1,0
4452,16.11589093084447,1,0
4868,0.6571284072441284,2,0
1445,2.361665488343708,1,0
6270,6.965238326125503,2,1
3502,2.9714575237218295,1,0
3138,3.1720673396792125,2,1
7026,6.52204409794758,1,0
4542,3.4140377685285923,2,0
2227,6.213604375277218,2,0
6189,0.9630427990648645,2,1
4788,5.135872316373909,2,1
1923,5.315481834335072,2,0
7589,0.5269764199719317,1,0
6182,8.369557912849947,2,0
3343,2.4001114176115386,3,0
4370,6.536749789434499,1,1
2501,2.0865935946792393,3,1
3951,2.508156150524542,1,0
6764,3.280203772622506,2,0
4432,5.205594131716671,1,0
2575,3.183749554975255,1,0
6246,2.2347904336165896,1,0
2371,0.8925413870221061,1,0
6232,6.5279656895985685,0,0
6052,0.6707577850819859,1,0
6188,3.3471410331350056,1,1
2120,2.2324623468266727,2,0
4932,2.702354041621075,1,0
6760,11.12302584711688,1,0
7513,5.722576322585594,2,1
2372,10.40124502445334,1,0
