,P,Q,A
2021,-5.472996968909508,3,1
3951,8.887026962261992,3,1
3341,9.342066894315428,3,1
799,6.7770658155751295,2,0
6495,7.813366155150593,2,0
5426,2.0947355249300452,1,0
5640,-0.723164853627438,3,1
5399,5.345573140958008,3,1
7960,7.176239956034404,1,0
9913,1.6862417871140996,1,0
428,3.702834362948739,1,0
8772,9.413961670876207,3,1
4463,9.924719841835035,3,1
7735,6.718304101930496,3,1
6218,7.7236390272113,1,0
7972,1.8867147210304274,3,1
9530,8.819516931548584,3,1
7489,4.098040805792285,3,1
5027,10.822511919191713,1,0
6833,-7.081106013991535,3,1
8926,11.381114113256547,3,0
8223,8.343021835455659,3,1
9861,2.893130316950024,3,1
7955,11.709565963853436,2,0
5999,4.781384059431351,1,0
7652,8.36310039626131,1,0
8120,6.9800968970773685,2,0
1617,11.852740914732768,3,1
4603,1.5948813890827565,1,0
5863,2.9434537582810516,3,0
3305,4.765687580045853,2,0
6235,4.521699349602723,1,0
3740,5.331006076013148,3,1
2582,3.7047975381758276,1,0
2788,14.916486299554169,1,0
8649,-2.7239163101039083,3,1
5829,6.866950045561761,3,0
3571,2.791252218273323,3,1
8291,13.385609342520612,1,0
4469,1.9917255997616703,3,0
2770,0.7792743373373177,3,1
8777,7.322736030082827,3,1
256,0.21244056652532528,1,0
2334,2.963236339090732,1,0
604,2.243780501438124,3,1
4562,8.645504299003347,2,1
8903,9.668193803858927,2,0
2002,2.6531565330115505,3,1
4512,8.2013581060432,3,1
9413,15.425041380240675,1,0
4926,-1.063748959205821,3,1
8595,-2.4835112982508436,3,1
3612,9.109800075712561,3,1
1483,3.6883353108032266,0,0
6099,3.2300311879377928,0,0
7543,3.15541165239522,1,0
5814,5.269907706779899,1,0
2614,5.254355806252306,2,0
2846,-1.0457092914053776,3,1
6936,3.603738322501185,1,0
3155,1.380500534676883,3,1
3150,0.17428319403831338,0,0
6179,-2.039000055186088,3,0
4679,15.821793764716457,3,1
1157,7.907576660648052,3,1
995,13.824447072353369,1,0
1964,-2.8008537651939784,3,1
9792,-1.8200888750685298,3,1
3821,10.637488358292511,3,1
8009,2.7571763382597707,2,0
6060,-2.5529555993752173,3,1
4730,-1.7323951043946857,3,1
6432,-1.5652530367128343,2,0
4776,7.820884444987413,3,1
2154,15.52459694254473,1,0
1083,5.821015742702558,2,0
3313,4.101549509643828,1,0
53,3.318712344669653,3,1
6643,7.895644797933831,2,0
8658,-1.4204145096822105,3,1
8927,4.794144077682652,3,0
4647,5.935538987811054,1,0
3916,0.01652877976764011,0,0
5474,3.6768579773095555,1,0
3882,3.3503975949156626,1,0
4789,1.4205166243305747,2,0
7166,9.652612259764412,1,0
4258,-3.1975902435073085,3,1
8521,4.357249473956461,3,1
7255,12.041111491911627,3,1
75,0.7416846712029507,1,0
8708,13.5977715098923,3,1
1121,1.6565420628974676,1,0
7667,-1.4155543706959048,3,1
7225,5.341814195544751,1,0
3860,0.6987995072862965,3,1
367,0.3191595306048498,3,1
9850,12.241115522584616,2,0
1041,5.112249902459668,2,0
4384,1.6727875995533423,3,1
92,-1.1481115567929483,3,1
3154,5.686765911384929,2,0
501,-0.961847539427009,3,1
1204,2.1350503594964048,1,0
949,9.169767897261641,3,1
3761,0.08936907988878917,3,1
291,9.830497050375284,2,0
9678,10.620107525935245,2,1
8102,-2.4566780850449152,3,1
1851,1.8083761845292516,3,1
9751,5.825935099206709,1,0
905,12.945792011341387,3,1
6349,-0.35406897964572914,3,1
4064,2.9285940023473604,1,0
5702,3.6581448540781465,3,1
7552,-1.1581964949772687,3,1
1329,4.815103366902755,1,0
8489,4.65129815576588,3,1
3232,-1.6616980404565689,3,1
8930,4.90119291510626,0,0
1836,3.6099920808953163,0,0
534,5.81270659281575,2,0
4480,-0.8934306884881139,3,1
5762,16.842598982159213,0,0
4915,-2.963143760112848,0,0
5920,1.8019116037383098,3,0
1089,10.64437288185439,3,1
194,12.541315493146909,2,0
9543,10.455317977730951,2,0
5817,0.5021110078016071,3,1
8199,7.24001363385894,3,0
8596,3.2607430842893983,3,1
7141,0.4134026414305825,1,0
455,7.234947337498177,3,0
3596,8.772039524430166,1,0
7639,3.840168764614824,2,0
