,R,Q,A
6553,7.700539545615733,0,0
7360,6.353751123179521,2,0
3793,0.06176923460664341,2,1
2177,-3.4349700838622947,2,1
1395,5.535811457394972,2,1
1523,9.090310356275355,1,0
939,3.63102693585558,1,0
6692,3.75061726637112,2,0
3335,3.743776819630418,2,0
1139,10.719693936792293,1,0
1170,-4.336692269683009,2,1
450,6.855300684768,0,0
4271,-3.3147304484811557,1,1
5167,5.025405751706778,3,0
4020,4.427402493713444,3,1
1027,3.6744761722134953,3,1
2859,1.7800105079691366,1,0
1746,-4.424384620756572,1,1
4631,1.9201547119263032,3,0
5388,1.1947920810795216,3,0
5603,0.6001255101971288,3,0
1287,4.323514389590765,1,0
1325,12.969733406925286,2,0
4738,7.771112706003584,2,0
1002,-0.6738676751838533,2,1
6886,4.986544912101967,2,0
6495,2.4179270327961784,0,0
1924,3.7271360091231713,1,0
507,7.6542045824708875,0,0
1554,-1.1207776363692972,1,1
5304,2.4558415272772827,2,0
4921,-3.9345051293113062,2,1
3276,11.416900810853635,2,0
2263,1.6791100722576147,3,1
6496,2.50034862638474,2,0
3026,5.498892990872408,2,0
713,5.685032831837395,1,0
3780,3.0785621350620076,2,0
5987,5.788563388496319,2,0
7408,8.205091686025888,1,0
41,12.306787371621631,3,0
4833,8.000231060063973,1,0
2273,8.33979621805208,3,1
4828,-1.2450622247038812,2,1
3094,6.7592959598461455,2,0
3267,-4.162938714085096,3,1
6141,5.366555176343169,2,0
5540,4.170230782783843,2,0
2063,-1.4579837994658131,3,1
1226,-1.703521741480495,0,1
4529,1.4198413557440723,0,1
2181,6.848458317131264,3,0
2934,-3.1364792291940367,2,1
3505,-1.42743547345402,2,1
3134,2.197841156770693,2,1
6250,6.237150696721841,2,0
7149,4.932461940602252,2,0
161,1.2458463830907625,2,0
2290,3.2595154810896623,1,0
6771,1.3102671286090224,1,0
6804,14.668377454037156,0,0
100,3.7361854212116974,1,1
5802,5.855410400988934,1,0
4141,3.4073323399989803,3,0
612,4.820470029689991,1,0
4629,-3.056698723113053,1,1
4489,10.486173689594395,0,0
53,0.38438284596919203,2,1
3940,7.277256328834449,1,0
5182,5.80765280083331,1,0
4403,11.29774995827475,2,0
2732,-4.698454274985077,2,1
4824,-2.689362718737736,1,1
1767,2.9690864823243928,2,0
2760,7.531997236707287,1,0
7389,2.756338316366111,2,0
2827,1.2949743671205616,3,0
3089,2.687563905578546,1,0
1467,-4.027582288845345,1,1
3993,3.471191905035656,1,0
1769,0.6780833699411576,0,0
3708,4.760439533636987,2,1
3786,1.7949240142579592,1,0
3249,2.0819118866568935,1,1
4914,4.535352589023383,2,0
6051,3.055944549450537,0,0
6979,5.078924367190702,1,0
6006,2.0424557518243396,3,0
2807,-3.9453572258221037,0,1
5888,3.513533230699288,2,0
2352,-3.7104008631513588,2,1
7027,18.223330388933963,3,0
1041,4.497654799915746,2,0
3442,0.2147477622544045,2,1
6162,4.5004812788915185,1,0
4756,-4.234682247199078,1,1
457,-2.744158036577775,1,1
4999,0.9030663382054225,2,0
1545,4.121793240228614,2,0
2638,-1.0932673565165283,2,1
2016,-3.529179356692439,3,1
3453,3.999610490459924,1,1
3214,-5.744252341523753,3,1
