,R,Q,A
669,11.943979382871028,2,0
1906,8.361623531035608,2,0
1883,3.282204621592003,2,0
1624,3.024075306683905,1,0
1139,2.1442688244135018,1,1
3368,2.4970043382706884,1,1
3327,5.924196208185819,0,0
4285,8.188752494669664,1,0
2105,8.34450349774303,2,0
6229,3.3284817223088385,2,0
1078,2.361665488343708,1,0
287,2.683011346653884,1,0
149,4.56937913193362,0,0
4886,13.998833581365119,1,0
1996,0.40707595678805625,1,0
2084,2.4105770598718146,2,0
2995,4.855454121134618,0,0
1298,0.49073419977171495,2,1
3050,11.096307178299293,2,0
604,4.911954294578896,3,0
5259,0.7709178499269158,2,1
4951,7.678245988448109,2,0
3958,6.1145641574309035,2,0
2786,8.83910990502746,3,0
6411,4.3843828537099885,2,0
6268,2.1593871143019263,3,0
85,0.5430336513634758,2,0
873,6.0914814975144225,2,0
2459,1.7949240142579592,1,0
3359,2.088328673957822,3,1
1664,0.5499427559449347,0,1
5375,9.898625528073183,3,0
5325,0.26654230361014947,2,1
546,1.7536324710632103,2,0
2330,7.154933366857412,1,0
1198,3.2273094365658554,1,1
2325,22.260789214968533,1,0
4590,1.0983845941875658,2,1
2529,1.3591625800776024,1,0
822,2.4774478044396235,0,1
5908,7.884411713091113,2,0
6336,3.0606972051515138,1,0
291,7.164307263926078,2,0
90,1.5339182337848902,1,1
1002,14.311020199234685,2,0
1721,0.4875886853321375,3,0
4438,2.8909346494836194,2,0
3171,1.92081357059843,0,0
1132,9.317042283884383,2,0
5819,2.4738244372673246,0,0
3544,1.1935212787440779,0,0
4255,11.673868635828951,2,0
3297,1.8218288090273476,0,1
325,3.099258877858353,0,1
6121,12.042996833335113,2,0
4642,10.589062648053657,2,0
1234,9.823651017810157,2,0
3928,2.9801629642845358,1,1
1374,1.2500075463401337,1,0
588,5.451649677998271,1,0
4067,2.5558384845593825,2,0
143,16.354790447940616,2,0
4084,0.425337357685615,2,0
2630,12.585592011222872,2,0
5308,5.373684992710105,1,0
1175,10.590081748724137,3,0
3504,5.131243317978733,2,0
817,0.8519937776408961,2,0
5670,2.457259570243453,3,1
4708,7.434473392380664,1,0
5423,13.705715911041244,2,0
6247,17.56049306898506,1,0
5473,3.2471760154415064,1,1
4526,6.5720004175002735,2,0
5883,1.2777500897716008,1,1
250,5.232876704917782,1,0
3246,1.5898271654123692,0,1
578,6.888534160056231,1,0
4465,2.371999211192682,1,1
123,5.95364813475053,2,0
4213,4.873712642934496,1,0
6429,3.3416126652925064,2,0
1363,2.8278104582610406,3,1
4160,1.9014050233008097,3,0
1309,22.12229559918822,1,0
3852,2.327830011763541,1,1
5997,10.67598838802612,3,0
2140,11.416900810853635,2,0
4784,9.26243499211645,2,0
3284,1.2224323443105467,0,0
3404,3.126529174298808,1,1
719,2.63431049723616,2,1
29,1.2775367228952392,2,1
3155,5.849019192641903,2,0
5732,2.424551300934666,0,0
148,12.29007837323495,3,0
2809,3.455762117142326,2,0
5783,2.2708347156693236,0,1
4098,2.98007336061833,2,0
2293,4.985281120341174,1,0
3453,6.80236341645981,2,0
120,3.119071356169419,3,1
2523,6.737466232062806,0,0
2019,2.833037311313641,2,1
5835,2.2511111096896173,2,0
2250,12.545001329688468,3,0
5185,2.50034862638474,2,0
3633,6.0936336758715335,2,0
161,1.3333317549430577,2,1
3479,11.619904043432147,2,0
636,12.01731241713912,3,0
