complete_name,F1v,N1,N2,N3,N4,LSC,T1,C1,C2,L1,L2,L3,density,cls_coef,Acc_KN,SP_KN,EO_KN,PP_KN,Acc_DT,SP_DT,EO_DT,PP_DT,Acc_LR,SP_LR,EO_LR,PP_LR
S1A,0.0022016922473519,0.0035538340167737,0.0058605597264807,0.0087212906132386,0.0140052375027857,0.0023799280167552,0.0091621295657683,0.0024379738919862,0.0065774488313488,0.0036138058635076,0.0017230322471293,0.0114225292946884,0.0003866785414021,0.0114385102547623,0.8447999999999999,-0.0052853149210645,-0.0090806541298723,0.0148284520001059,0.7972,-0.0110472070902515,0.008196544817298,-0.0131981315649387,0.8564,-0.0096022168234185,-0.0087573087138685,0.0057997228379319
S1B0,0.0041483498390627,0.0049260752680106,0.0077788776991774,0.0019389313239717,0.0017389136504102,0.0005355662717684,0.0054632027285931,0.0024379738919862,0.0065774488313488,0.0070842281759723,0.0106086573809662,0.0057171051634121,0.0003808432635886,0.0098323268299562,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7379,-0.0057257383056692,-0.0031373563085557,0.0061978244247552,0.8073,-0.0107388369101956,0.0063219347543875,-0.0119867055193118
S1B1,0.004148349839063,0.0049260752680106,0.0077788776991776,0.0019389313239717,0.0083033336825641,0.0005359904460693,0.0052650652211629,0.0024379738919862,0.0065774488313488,0.007085657795198,0.0106048970487032,0.0158710023617687,0.0003808432635886,0.0098323268299562,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7319000000000001,-0.0056607441003972,-0.0013181275146283,0.0053031931762578,0.8073,-0.0107388369101956,0.0063219347543875,-0.0119867055193118
S1B10,0.0041483498390625,0.0049260752680106,0.0077788776991774,0.0019389313239717,0.0126251955622799,0.0005373324603203,0.0054632027285931,0.0024379738919862,0.0065774488313488,0.0065680926985397,0.0100029638618868,0.009496759133637,0.0003808432635886,0.0098323268299562,0.7922,0.0080708341537011,0.0291975489455535,-0.0005521889300968,0.7374,-0.0082300720822826,-0.0053592947425487,0.0054157478931832,0.8072000000000001,-0.0129281931501436,0.0041856900644697,-0.0139405196818627
S1B11,0.0041483498390625,0.0049260752680106,0.0077788776991775,0.0019389313239717,0.0014618091654579,0.0005373324603203,0.0054632027285931,0.0024379738919862,0.0065774488313488,0.0065675551165821,0.0100029638618868,0.0057509481537788,0.0003808432635886,0.0098323268299562,0.7922,0.007672765144521,0.028753104501109,-0.0008707939794999,0.7377999999999999,-0.0077893241670334,-0.0062725442153496,0.0069558916402697,0.8072000000000001,-0.0129281931501436,0.0041856900644697,-0.0139405196818627
S1B2,0.004148349839063,0.0049260752680106,0.0077788776991774,0.0019389313239717,0.0042402146653678,0.0005362953406886,0.0054632027285931,0.0024379738919862,0.0065774488313488,0.0070426306803454,0.0106011367164403,0.0074112548584792,0.0003808432635886,0.0098323268299562,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7373000000000001,-0.0136293058072822,-0.0117347436168949,0.0032722610795213,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B3,0.004148349839063,0.0049260752680106,0.0077788776991775,0.0019389313239717,0.0091760107923135,0.0005370848753628,0.0052650652211629,0.0024379738919862,0.0065774488313488,0.0065797080705292,0.0100029638618868,0.0031413175668201,0.0003808432635886,0.0098323268299562,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7363999999999999,-0.0109920766221285,-0.0098109185066032,0.0054893803540576,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B4,0.0041483498390629,0.0049260752680106,0.0077788776991775,0.0019389313239717,0.007545066682092,0.0005373324603203,0.0054632027285931,0.0024379738919862,0.0065774488313488,0.0064309818991139,0.0098010660221937,0.0137892584188737,0.0003808432635886,0.0098323268299562,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7373,-0.0056294364400391,-0.0012997319988797,0.0056036396359846,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B5,0.0041483498390628,0.0049260752680106,0.0077788776991776,0.0019389313239717,0.0111111017769529,0.0005373324603203,0.0054632027285931,0.0024379738919862,0.0065774488313488,0.0064309210717294,0.0098010660221937,0.0054287196816711,0.0003808432635886,0.0098323268299562,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7378,-0.0086835508760157,-0.004213024045054,0.0034951778801379,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B6,0.0041483498390628,0.0049260752680106,0.0077788776991774,0.0019389313239717,0.0029235383238462,0.0005373324603203,0.0054632027285931,0.0024379738919862,0.0065774488313488,0.0064309853762383,0.0098010660221937,0.0088948259468206,0.0003808432635886,0.0098323268299562,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7374,-0.0078050938502106,-0.0040299983387948,0.0046939896396469,0.807,-0.0117216918892439,0.0046041001063107,-0.0120631969997918
