,R,Q,A
2021,-6.564481496670652,3,1
3951,2.0233145607452663,2,1
3341,4.351995791398419,1,1
799,9.52314348029448,2,0
6495,7.763201259727468,2,0
5426,3.594415791038286,1,0
5640,-4.83318107325352,0,1
5399,-3.1453491526852844,3,1
7960,3.865387551681347,1,0
9913,0.6997136074500991,1,0
428,2.9858741551264205,1,0
8772,4.465044261499116,2,1
4463,1.9301619884974635,1,1
7735,-1.5850474723977168,1,1
6218,6.136976957184384,1,0
7972,-3.4358298508225724,0,1
9530,-0.32183984145720324,0,1
7489,-1.9924944808985092,1,1
5027,11.373410945882393,1,0
6833,-8.571085117820129,3,1
8926,10.154917330936598,3,0
8223,0.633082298654541,1,1
9861,-2.0387897374190445,1,1
7955,9.587384715030758,2,0
5999,5.423822051906439,1,0
7652,6.79734536591777,1,0
8120,7.082394813038601,2,0
1617,2.885465499632101,2,1
4603,3.117473195038813,1,0
5863,3.0057709254608524,3,0
3305,5.160181604507018,2,0
6235,7.015070568237263,1,0
3740,-0.10577949507844586,1,1
2582,4.156610387726937,1,0
2788,10.40124502445334,1,0
8649,-7.349541209677318,3,1
5829,6.402929837242172,3,0
3571,-7.370575510609337,2,1
8291,15.551438902132823,1,0
4469,4.853036294563522,3,0
2770,-3.6973866996178932,2,1
8777,0.9248173556248638,2,1
256,4.787935482770691,1,0
2334,4.978495977371066,1,0
604,-2.920939542178097,3,1
4562,1.8139208371925122,3,1
8903,10.249247472679961,2,0
2002,-6.9286452292212575,2,1
4512,-1.1299907316532387,3,1
9413,9.967182629826992,1,0
4926,-4.732018949036031,2,1
8595,-4.758769649879971,1,1
3612,-0.10260261104447288,2,1
1483,2.7577911190489237,0,0
6099,1.442327064878374,0,0
7543,1.1688293692742309,1,0
5814,1.6248391614991378,1,0
2614,6.213604375277218,2,0
2846,-4.466075023953342,3,1
6936,5.906758349975017,1,0
3155,-5.993041301104292,1,1
3150,3.60560988782419,0,0
6179,0.6237435920068249,3,0
4679,13.334434298988164,1,1
1157,2.26213361322365,1,1
995,14.857264047609462,1,0
1964,-8.27692265706322,2,1
9792,-7.6735187071726845,0,1
3821,6.309042787210915,1,1
8009,2.4761665936693045,2,0
6060,-5.26858888943917,1,1
4730,-6.249571253416816,2,1
6432,1.4343563068333118,2,0
4776,2.193907463858615,2,1
2154,12.57141061355821,1,0
1083,3.631369837843001,2,0
3313,2.9328729539729887,1,0
53,-2.615617154030808,2,1
6643,6.92141448085969,2,0
8658,-6.9395102188564906,1,1
8927,4.362882005572336,3,0
4647,2.508156150524542,1,0
3916,1.2084414186642418,0,0
5474,3.8651756831483235,1,0
3882,1.781564890510406,1,0
4789,1.680007861144139,2,0
7166,6.2008238226250025,1,0
4258,-7.747228478794113,0,1
8521,-0.6803568959306983,2,1
7255,4.8024916624547505,3,1
75,1.2987366582230593,1,0
8708,10.666324941349671,3,1
1121,1.0006479480819317,1,0
7667,-7.583657066122459,1,1
7225,6.422030192216264,1,0
3860,-7.702080243815155,3,1
367,-8.060726327689714,1,1
9850,13.25838941937169,2,0
1041,4.497654799915746,2,0
4384,-5.333492333909257,1,1
92,-6.1983557491373205,2,1
3154,5.229491371353755,2,0
501,-5.7487140869484845,2,1
1204,2.4711676877792073,1,0
949,0.1906077277447089,0,1
3761,-6.754144012366727,2,1
291,9.513252982951112,2,0
9678,4.717909645101447,3,1
8102,-5.263736189785297,1,1
1851,-5.022521864958603,1,1
9751,5.718583121536355,1,0
905,5.30102534371963,1,1
6349,-5.729042181772531,1,1
4064,3.286649934118374,1,0
5702,-2.179119443988424,1,1
7552,-4.512813923700277,2,1
1329,4.81392739230757,1,0
8489,-0.24612460980006112,2,1
3232,-5.885643859807903,1,1
8930,5.690707983524059,0,0
1836,2.0788974341776614,0,0
534,1.9960329587234258,2,0
4480,-6.842874640734709,2,1
5762,15.211790484510548,0,0
4915,1.3800973602885234,0,0
5920,3.219418166550059,3,0
1089,2.652800641285406,1,1
194,9.807281728659609,2,0
9543,10.190535346591215,2,0
5817,-7.575391244281031,1,1
8199,6.552886618609014,3,0
8596,-4.514882539302869,3,1
7141,1.7444705310615358,1,0
455,8.131125615351932,3,0
3596,7.154933366857412,1,0
7639,7.765352439472192,2,0
4875,0.9262891119340897,2,0
3755,-0.8370936758627003,1,1
639,-4.219853179200976,2,1
5135,-5.413697576085892,2,1
7006,1.7925214054117615,2,0
5932,-2.340770745776968,1,1
5191,5.429072827431453,0,0
5298,-7.303787697973096,3,1
3053,-6.368314825964264,0,1
3411,-7.374976214918379,1,1
4901,-6.908816699755895,1,1
1840,-1.924665181767736,2,1
2315,3.3148728480093164,1,0
4482,7.625260333826841,1,0
9320,11.720991399074894,0,0
6811,8.629695776597211,3,0
52,0.4493171807227512,0,1
7312,-4.648872899291449,1,1
997,1.4320743718847084,2,0
4400,-6.600550751073134,1,1
2441,-8.212212436568528,2,1
8284,-1.3361910845060194,0,1
6257,1.8592476273534169,2,0
4953,-3.5959694833548257,0,1
4499,-8.197402129794403,0,1
965,8.44194982855829,1,0
1155,-3.1962048853440823,2,1
5611,-4.014943629200479,3,1
9099,1.5911751478876879,1,0
5347,-2.024090014781792,2,1
6174,4.507828826370088,2,0
7178,1.8564831789365357,2,1
4106,3.3501712427338877,1,0
609,1.7963877524371175,2,0
4833,8.000231060063973,1,0
1581,-6.004110416863706,1,1
7301,7.524240486693285,3,0
6194,-4.382267590623157,1,1
957,-0.9165928615949284,1,1
1195,-8.045825829729718,2,1
329,-6.976234585273323,3,1
172,-5.952868248103689,0,1
2578,-1.8997751777449743,2,1
7306,12.088834865859045,1,1
8039,2.6284555351909114,1,0
9973,-7.183253177684801,2,1
7124,0.7531304385997993,1,0
6278,-4.0766302470445,1,1
652,4.359203381022559,2,0
3996,-4.441973080491179,2,1
5689,-6.082370005779305,3,1
4516,0.9481257632416185,1,1
2681,7.0958241913321345,2,0
5355,3.4140377685285923,2,0
8551,-1.0450168823080963,2,1
6130,-5.495203497930563,1,1
3112,2.4710795027807193,3,0
3218,11.215788976198168,3,0
8953,2.482142190056888,2,0
7229,-8.288766669532412,2,1
6586,-5.6130440491048175,2,1
4640,-4.124833488991871,1,1
6271,2.7287523856517053,2,0
7845,7.55624383760213,2,0
6980,12.33331989329296,1,0
4535,10.306991830023305,3,0
7980,-4.898106028393375,1,1
176,-6.572484188503431,1,1
8053,5.028737832737999,2,1
3276,11.416900810853635,2,0
4030,1.0922888939329827,1,1
8304,3.7905049801710335,1,0
1722,1.715210963760636,1,0
5389,3.8132358191943467,2,1
5488,1.6652656508741899,2,1
4872,2.6429208861916598,2,0
9118,-2.7914805631732253,2,1
8840,7.161341985396767,2,0
5886,11.544160023534044,3,0
6261,10.023208012368102,2,0
7816,0.406876620640773,2,1
8536,-5.097227618345533,0,1
6155,0.7008475179654727,1,1
2842,2.7693230604468635,1,0
4066,-8.348198253720101,0,1
2041,9.006869976671394,1,0
7696,2.8713013605901256,2,1
549,-3.1996029899258467,3,1
2726,-8.590643642911337,1,1
8507,3.3217412455901147,1,1
6966,1.4987910081723805,2,0
4100,6.22705333001963,2,0
1257,0.2815090403887055,2,1
5579,-0.8100126999690396,1,1
5436,-5.73582832556293,1,1
1258,-5.458974172249083,2,1
7383,3.035572897196772,1,1
6544,-7.403479617323577,1,1
1285,6.032969394525466,1,0
7527,13.43422913618902,2,0
6492,10.584090593555104,1,0
5574,-4.866203802847487,2,1
9480,-2.733436394651207,2,1
2494,6.474101613031678,2,0
1621,-3.1214657258759395,0,1
320,-3.6570855268640408,2,1
3806,25.90495967743729,3,1
7827,12.793478599506631,2,0
5990,6.393239867227418,3,0
3063,3.7514666572652455,2,0
9822,-3.211848742579626,2,1
8696,3.2610115323826907,2,0
1224,5.074526264638501,1,0
2721,-2.059382077467891,2,1
6209,-5.620442173013982,2,1
855,4.54314106840093,2,0
5402,-0.6049745334749588,0,1
7882,5.40947846224868,2,0
6031,2.5563318708271865,1,1
9745,2.592600934337689,0,1
9945,-6.315955877087637,2,1
2549,3.9218697435784513,1,1
9356,12.51107945433754,1,1
9276,-3.427940630614968,1,1
7690,-5.760963745832947,2,1
5672,4.759863409682231,2,0
831,2.9906415933251003,2,0
6411,12.443917307494022,1,0
8511,4.787774350232784,1,0
6479,0.2170177940887985,1,1
1201,-1.5141240592620626,1,1
2572,-6.508007729136671,1,1
6341,-6.093446576385208,0,1
5700,15.367452976771919,2,0
9052,5.31570513902637,2,0
2387,3.029986606896172,1,0
1939,-6.6850070430125585,2,1
7692,11.400818211766563,3,0
1479,-1.311929645251202,1,1
9203,5.5870223792771005,1,0
3968,4.689483850106129,2,0
7825,6.143590193376049,1,0
3696,3.158640471877147,1,0
2096,5.734547585954315,1,0
9208,6.343567379333551,0,0
9091,0.25834781003379526,3,1
6915,-3.9235307921094815,3,1
6406,-2.8398249592996594,1,1
4045,5.9961804211175975,2,0
5407,1.9579137667674482,2,0
9933,8.770346284416533,0,0
9161,-6.572876315320979,1,1
7727,-5.460023317851906,2,1
6817,-1.971306578552607,2,1
3243,2.920378921359864,2,0
2562,-8.450057244055065,0,1
7594,-4.563385347925502,2,1
2058,7.181824243602168,1,0
808,9.127847567753562,2,0
1022,5.303591340532131,2,0
3161,-2.294495499758151,1,1
8576,5.885406320716898,2,0
7701,2.3900475731709516,2,0
5974,-2.8873832755910165,3,1
4913,-7.140404469153211,1,1
5025,7.553260493538589,2,0
2372,-7.88899845042297,1,1
2963,2.250299869441227,1,0
8974,6.124884298819913,2,0
530,-2.392156452743971,1,1
2017,-7.192582773407908,2,1
7637,-7.037569538636764,0,1
6888,-0.5771080817791869,3,1
2813,-6.265589964066853,1,1
567,4.102483023934838,3,0
8787,-6.25796640909985,1,1
9867,8.205091686025888,1,0
5053,-4.359528067568761,2,1
9577,-4.606547092195947,3,1
6562,-5.580080480606713,1,1
9962,-7.791235474278755,3,1
2064,3.6976905688846404,0,0
8080,-6.236282883800559,1,1
3804,6.759675210664229,1,1
9590,-3.234089135066224,1,1
2922,1.1556450948738106,1,0
7118,-6.41443313632816,2,1
5682,2.0392044346030325,2,0
2320,-3.559564265011316,2,1
8898,3.459798637715478,0,0
9581,-7.732260240946506,3,1
3236,3.2499555297189335,3,0
640,10.620160459245263,2,0
8656,-1.0779698409625151,1,1
9344,-1.9445992681391084,3,1
9766,1.3210918617980076,2,0
5033,-2.9727625784692897,2,1
4093,1.7681531434816073,1,0
4136,-6.164814940456637,0,1
8823,-3.925037481048049,1,1
801,-1.7639913669550973,0,1
