P,Q,A,Y
-14.47299696890951,3,1,0
-0.1129730377380084,2,1,1
0.3420668943154279,1,1,1
6.7770658155751295,2,0,1
7.813366155150593,2,0,1
2.0947355249300452,1,0,1
-9.723164853627438,0,1,0
-3.654426859041992,3,1,0
7.176239956034404,1,0,1
1.6862417871140996,1,0,0
3.702834362948739,1,0,1
0.4139616708762068,2,1,1
0.9247198418350352,1,1,1
-2.2816958980695037,1,1,1
7.7236390272113,1,0,1
-7.113285278969573,0,1,0
-0.1804830684514167,0,1,1
-4.901959194207715,1,1,1
10.822511919191712,1,0,1
-16.081106013991537,3,1,0
11.381114113256547,3,0,1
-0.6569781645443413,1,1,1
-6.106869683049975,1,1,0
11.709565963853436,2,0,1
4.781384059431351,1,0,1
8.36310039626131,1,0,1
6.9800968970773685,2,0,1
2.852740914732769,2,1,1
1.5948813890827565,1,0,0
2.9434537582810516,3,0,0
4.765687580045853,2,0,0
4.521699349602723,1,0,1
-3.668993923986851,1,1,0
3.704797538175827,1,0,0
14.916486299554167,1,0,1
-11.723916310103908,3,1,0
6.866950045561761,3,0,0
-6.208747781726677,2,1,0
13.385609342520612,1,0,1
1.9917255997616703,3,0,0
-8.220725662662682,2,1,1
-1.677263969917173,2,1,1
0.2124405665253252,1,0,1
2.963236339090732,1,0,1
-6.756219498561876,3,1,0
-0.3544957009966535,3,1,1
9.668193803858928,2,0,1
-6.346843466988449,2,1,0
-0.7986418939568001,3,1,1
15.425041380240677,1,0,1
-10.06374895920582,2,1,0
-11.483511298250844,1,1,0
0.109800075712561,2,1,0
3.688335310803226,0,0,1
3.2300311879377928,0,0,0
3.15541165239522,1,0,0
5.269907706779899,1,0,0
5.254355806252306,2,0,0
-10.045709291405377,3,1,0
3.603738322501185,1,0,1
-7.619499465323116,1,1,0
0.1742831940383133,0,0,1
-2.039000055186088,3,0,0
6.821793764716458,1,1,1
-1.0924233393519478,1,1,1
13.824447072353369,1,0,1
-11.80085376519398,2,1,0
-10.82008887506853,0,1,0
1.6374883582925122,1,1,1
2.7571763382597707,2,0,0
-11.552955599375217,1,1,0
-10.732395104394683,2,1,0
-1.5652530367128343,2,0,0
-1.1791155550125878,2,1,1
15.52459694254473,1,0,1
5.821015742702558,2,0,0
4.101549509643828,1,0,0
-5.6812876553303475,2,1,0
7.895644797933831,2,0,1
-10.42041450968221,1,1,0
4.794144077682652,3,0,0
5.935538987811054,1,0,0
0.0165287797676401,0,0,1
3.676857977309555,1,0,1
3.3503975949156626,1,0,0
1.420516624330575,2,0,0
9.652612259764412,1,0,1
-12.19759024350731,0,1,0
-4.642750526043539,2,1,0
3.041111491911627,3,1,1
0.7416846712029507,1,0,1
4.5977715098923,3,1,1
1.6565420628974676,1,0,0
-10.415554370695904,1,1,0
5.341814195544751,1,0,1
-8.301200492713704,3,1,0
-8.68084046939515,1,1,0
12.241115522584616,2,0,1
5.112249902459668,2,0,1
-7.3272124004466574,1,1,0
-10.148111556792948,2,1,0
5.686765911384929,2,0,1
-9.96184753942701,2,1,0
2.1350503594964048,1,0,0
0.1697678972616407,0,1,1
-8.91063092011121,2,1,0
9.830497050375284,2,0,1
1.6201075259352444,3,1,1
-11.456678085044915,1,1,0
-7.191623815470748,1,1,1
5.825935099206709,1,0,1
3.9457920113413874,1,1,1
-9.354068979645728,1,1,0
2.9285940023473604,1,0,0
-5.341855145921853,1,1,0
-10.158196494977268,2,1,0
4.815103366902755,1,0,1
-4.34870184423412,2,1,1
-10.661698040456567,1,1,0
4.90119291510626,0,0,1
3.609992080895316,0,0,1
5.81270659281575,2,0,0
-9.893430688488117,2,1,0
16.842598982159213,0,0,1
-2.963143760112848,0,0,0
1.8019116037383096,3,0,0
1.64437288185439,1,1,1
12.541315493146907,2,0,1
10.455317977730951,2,0,1
-8.497888992198392,1,1,0
7.24001363385894,3,0,0
-5.739256915710602,3,1,0
0.4134026414305825,1,0,1
7.234947337498177,3,0,1
8.772039524430166,1,0,1
3.840168764614824,2,0,1
0.8041690427359518,2,0,0
-2.2339742088340984,1,1,1
-5.550978266144353,2,1,0
-3.519738158395584,2,1,0
1.951176827297512,2,0,0
-7.163745596166687,1,1,1
7.799599697707297,0,0,1
-10.87855980415705,3,1,0
-10.915570681647884,0,1,0
-8.677736891666381,1,1,0
-10.89229277949148,1,1,0
-7.980685044720699,2,1,0
2.5268233635257653,1,0,0
6.929255092731825,1,0,1
9.959837619114031,0,0,1
11.589259709170015,3,0,0
2.2018287872423334,0,1,1
-5.053533626344926,1,1,0
1.2506829326390865,2,0,0
-11.203435338733282,1,1,0
-13.352702544039513,2,1,0
-4.464172274630831,0,1,1
0.9898832565810568,2,0,0
-7.27722802040452,0,1,1
-10.476276126323311,0,1,0
9.271510406234686,1,0,1
-4.618142472683643,2,1,0
-10.222365332043218,3,1,0
2.7338945622177415,1,0,0
-2.7357221407686616,2,1,0
2.9706980697663132,2,0,0
-1.1995250556204085,2,1,1
5.836975927033587,1,0,1
0.8753764591667135,2,0,0
6.581112155764876,1,0,1
-8.99022329735626,1,1,0
4.720880974683381,3,0,1
-11.704867214384368,1,1,0
-0.887018664234251,1,1,1
-17.196991407568678,2,1,0
