R,Q,A,Y
-1.5091540275033437,2,1,0
13.070569075208958,2,0,1
8.119736710572171,2,0,1
1.5235185240508995,2,1,0
-2.289404089874542,1,1,0
7.16004212951095,1,0,1
8.119311519477662,2,0,1
12.443917307494022,1,0,1
-2.5901681191670645,1,1,0
-1.4498419117709576,2,1,0
-0.3591794752314161,1,1,0
2.25058515085534,2,1,0
13.25838941937169,2,0,1
2.077967339227349,0,1,1
-0.8281946996509997,1,1,0
3.7243971809751786,1,0,1
5.081330050928975,0,0,1
6.6487773866385655,2,0,1
7.98725333353309,2,0,1
8.822241880968683,2,0,1
4.356369281315401,1,0,0
1.7115738002530057,1,1,1
10.761112747546663,2,0,1
2.488545692010039,3,1,0
2.467134575629011,1,1,0
3.386657536650456,1,1,0
2.4621357644359394,0,1,1
1.1788132865684815,2,0,0
-0.612061662767168,2,1,0
-1.3037876979730958,3,1,0
2.29447394385926,3,0,0
3.671145067784292,1,0,0
2.963703496156171,3,1,0
-2.7334576963898507,2,1,0
-0.6850070430125585,2,1,0
-2.2122124365685285,2,1,0
0.1886304744570006,2,1,0
-0.842874640734709,2,1,0
2.8402587622994977,1,0,0
6.353751123179521,2,0,1
1.4987910081723803,2,0,0
4.583525048784622,1,0,0
-1.906652491879644,1,1,0
-0.8237543126160252,3,1,0
3.5612226945282233,2,0,0
3.327141147829954,1,1,1
-2.525894785616347,0,1,0
5.005685258608872,2,0,0
2.8133908166956028,3,0,0
-1.8534186887927,3,1,0
4.065467349729111,3,1,0
4.715388482120655,1,0,1
4.8291419341237445,0,0,1
0.5403363573746285,0,1,1
6.778237027764629,3,0,1
3.319846454044667,2,0,0
3.0456565034809433,0,0,1
3.293500578250315,2,1,0
15.067320068905303,1,0,1
16.11589093084447,1,0,1
0.6571284072441284,2,0,0
2.361665488343708,1,0,1
3.965238326125503,1,1,0
2.9714575237218295,1,0,0
0.1720673396792125,1,1,0
6.52204409794758,1,0,1
3.4140377685285923,2,0,0
6.213604375277218,2,0,0
-2.0369572009351353,1,1,0
2.1358723163739093,1,1,0
5.315481834335072,2,0,1
0.5269764199719317,1,0,0
8.369557912849947,2,0,1
2.4001114176115386,3,0,0
3.5367497894344986,2,1,0
-0.9134064053207608,0,1,1
2.508156150524542,1,0,0
3.280203772622506,2,0,0
5.205594131716671,1,0,1
3.183749554975255,1,0,0
2.2347904336165896,1,0,1
0.8925413870221061,1,0,0
6.5279656895985685,0,0,1
0.6707577850819859,1,0,0
0.3471410331350055,2,1,0
2.2324623468266727,2,0,0
2.702354041621075,1,0,0
11.12302584711688,1,0,1
2.722576322585594,1,1,0
10.40124502445334,1,0,1
2.582661086405091,2,0,0
1.3732831874494356,2,0,0
-0.9112721773450811,2,1,0
2.5877946991012526,1,0,1
9.888866611649576,2,0,1
12.075170525068753,3,0,1
-2.5769668552061704,1,1,0
3.7301506713968298,2,1,0
6.356205164668195,2,0,1
1.70310430675944,2,0,0
12.433571588387322,1,0,1
10.77001416214524,1,0,1
1.18019754628716,2,0,0
3.3444168803913445,2,1,0
9.542030720602122,2,0,1
9.264530098249494,0,0,1
6.289362896173456,1,0,1
4.914209285823006,2,0,1
1.9232840630323864,3,0,0
17.60178924805804,1,0,1
-0.1290147871557683,0,1,0
2.0733601604556036,1,1,0
2.592919708220969,2,1,0
-0.2973016543390749,1,1,0
1.229212595732896,1,0,0
1.5415389611232406,1,0,1
4.187370980435318,2,1,1
1.9330859594613528,1,0,0
3.679011632574686,1,1,1
1.9852669925521451,2,0,0
2.3243109108946385,2,1,1
6.304990659880374,1,0,1
4.5004812788915185,1,0,1
6.4267432839956165,1,0,1
5.574498295145678,2,0,0
6.319389937513866,2,0,1
0.5702833769110374,3,1,0
5.31570513902637,2,0,0
2.4711676877792073,1,0,0
8.67854231241864,2,0,1
8.687822252516103,3,0,0
-2.7442523415237523,3,1,0
2.619616389566753,2,0,1
1.825526390346365,0,0,0
-0.0447312863941218,1,1,0
9.281247375521737,2,0,1
0.2979152275124956,2,1,0
8.622194124911136,2,0,1
-0.6524872901368006,1,1,0
-0.018148948568764,3,1,0
7.396652862582299,0,0,1
3.985822324956468,2,1,0
6.008411948598916,2,0,0
12.397768837396187,0,0,1
1.7556842709030285,1,1,0
1.3296603824593145,1,1,1
2.8051219210353513,2,0,0
7.245082762574933,0,0,1
-0.869932512349719,2,1,0
-1.8241645866229117,2,1,0
1.674006629044511,1,1,0
7.984848970398163,1,0,1
2.1881481266250473,2,1,0
6.751018549003254,1,0,1
-0.0690824967624563,1,1,0
7.810488351993175,2,0,1
3.363009283225731,1,1,0
14.877868193555258,2,0,1
11.100239433031655,3,0,1
5.366555176343169,2,0,1
0.7624133638400656,2,0,0
8.753859053460232,2,0,1
5.5900163672202225,0,0,1
13.860800946238353,2,0,1
1.5932910337689306,2,0,0
-0.0218240951109516,0,1,0
1.964886812591653,1,0,1
0.5667761470008594,3,1,0
0.9499151312344378,1,0,0
3.678111211062712,2,0,1
-0.9368153648556916,0,1,1
1.5070588666842504,3,1,0
9.898625528073184,3,0,1
0.8373978473963843,1,1,0
10.317658361494436,1,0,1
4.928641122718525,1,0,0
1.4728637649149912,0,1,0
2.354279428515656,1,1,0
2.8363023688212117,1,1,1
0.0456632905078651,3,1,0
3.8805124953725194,1,1,1
-1.5740207193369522,2,1,0
5.80765280083331,1,0,1
0.2284855738406322,2,0,0
0.9457426042489384,1,1,1
-0.7369830883165855,1,1,0
-0.0274090705790479,3,1,0
-0.3267696802795066,1,1,0
9.111578738658862,0,0,1
4.001769728279265,3,1,0
20.303594306590583,3,0,1
0.3499156803680776,2,1,0
5.118758430083519,1,0,0
0.3235965482953551,2,1,0
-0.631400602709216,3,1,0
1.850810447151115,0,0,1
-2.230135058839778,1,1,0
