,P,Q,A
2021,-12.97299696890951,3,1
3951,1.3870269622619915,2,1
3341,1.842066894315428,1,1
799,6.7770658155751295,2,0
6495,7.813366155150593,2,0
5426,2.0947355249300452,1,0
5640,-8.223164853627438,0,1
5399,-2.1544268590419917,3,1
7960,7.176239956034404,1,0
9913,1.6862417871140996,1,0
428,3.702834362948739,1,0
8772,1.9139616708762068,2,1
4463,2.424719841835035,1,1
7735,-0.7816958980695037,1,1
6218,7.7236390272113,1,0
7972,-5.613285278969573,0,1
9530,1.3195169315485833,0,1
7489,-3.4019591942077154,1,1
5027,10.822511919191713,1,0
6833,-14.581106013991535,3,1
8926,11.381114113256547,3,0
8223,0.8430218354556587,1,1
9861,-4.606869683049975,1,1
7955,11.709565963853436,2,0
5999,4.781384059431351,1,0
7652,8.36310039626131,1,0
8120,6.9800968970773685,2,0
1617,4.3527409147327685,2,1
4603,1.5948813890827565,1,0
5863,2.9434537582810516,3,0
3305,4.765687580045853,2,0
6235,4.521699349602723,1,0
3740,-2.1689939239868514,1,1
2582,3.7047975381758276,1,0
2788,14.916486299554169,1,0
8649,-10.223916310103908,3,1
5829,6.866950045561761,3,0
3571,-4.708747781726677,2,1
8291,13.385609342520612,1,0
4469,1.9917255997616703,3,0
2770,-6.720725662662682,2,1
8777,-0.17726396991717297,2,1
256,0.21244056652532528,1,0
2334,2.963236339090732,1,0
604,-5.256219498561876,3,1
4562,1.1455042990033464,3,1
8903,9.668193803858927,2,0
2002,-4.846843466988449,2,1
4512,0.7013581060431999,3,1
9413,15.425041380240675,1,0
4926,-8.563748959205821,2,1
8595,-9.983511298250843,1,1
3612,1.609800075712561,2,1
1483,3.6883353108032266,0,0
6099,3.2300311879377928,0,0
7543,3.15541165239522,1,0
5814,5.269907706779899,1,0
2614,5.254355806252306,2,0
2846,-8.545709291405377,3,1
6936,3.603738322501185,1,0
3155,-6.119499465323116,1,1
3150,0.17428319403831338,0,0
6179,-2.039000055186088,3,0
4679,8.321793764716457,1,1
1157,0.4075766606480522,1,1
995,13.824447072353369,1,0
1964,-10.30085376519398,2,1
9792,-9.32008887506853,0,1
3821,3.1374883582925124,1,1
8009,2.7571763382597707,2,0
6060,-10.052955599375217,1,1
4730,-9.232395104394685,2,1
6432,-1.5652530367128343,2,0
4776,0.32088444498741225,2,1
2154,15.52459694254473,1,0
1083,5.821015742702558,2,0
3313,4.101549509643828,1,0
53,-4.1812876553303475,2,1
6643,7.895644797933831,2,0
8658,-8.92041450968221,1,1
8927,4.794144077682652,3,0
4647,5.935538987811054,1,0
3916,0.01652877976764011,0,0
5474,3.6768579773095555,1,0
3882,3.3503975949156626,1,0
4789,1.4205166243305747,2,0
7166,9.652612259764412,1,0
4258,-10.69759024350731,0,1
8521,-3.1427505260435384,2,1
7255,4.541111491911627,3,1
75,0.7416846712029507,1,0
8708,6.0977715098923,3,1
1121,1.6565420628974676,1,0
7667,-8.915554370695904,1,1
7225,5.341814195544751,1,0
3860,-6.801200492713704,3,1
367,-7.180840469395151,1,1
9850,12.241115522584616,2,0
1041,5.112249902459668,2,0
4384,-5.8272124004466574,1,1
92,-8.648111556792948,2,1
3154,5.686765911384929,2,0
501,-8.461847539427009,2,1
1204,2.1350503594964048,1,0
949,1.6697678972616408,0,1
3761,-7.41063092011121,2,1
291,9.830497050375284,2,0
9678,3.1201075259352447,3,1
8102,-9.956678085044915,1,1
1851,-5.691623815470749,1,1
9751,5.825935099206709,1,0
905,5.445792011341387,1,1
6349,-7.854068979645729,1,1
4064,2.9285940023473604,1,0
5702,-3.8418551459218535,1,1
7552,-8.658196494977268,2,1
1329,4.815103366902755,1,0
8489,-2.84870184423412,2,1
3232,-9.161698040456569,1,1
8930,4.90119291510626,0,0
1836,3.6099920808953163,0,0
534,5.81270659281575,2,0
4480,-8.393430688488115,2,1
5762,16.842598982159213,0,0
4915,-2.963143760112848,0,0
5920,1.8019116037383098,3,0
1089,3.14437288185439,1,1
194,12.541315493146909,2,0
9543,10.455317977730951,2,0
5817,-6.997888992198392,1,1
8199,7.24001363385894,3,0
8596,-4.239256915710602,3,1
7141,0.4134026414305825,1,0
455,7.234947337498177,3,0
3596,8.772039524430166,1,0
7639,3.840168764614824,2,0
4875,0.8041690427359518,2,0
3755,-0.7339742088340981,1,1
639,-4.050978266144353,2,1
5135,-2.019738158395585,2,1
7006,1.9511768272975119,2,0
5932,-5.663745596166687,1,1
5191,7.799599697707297,0,0
5298,-9.37855980415705,3,1
3053,-9.415570681647884,0,1
3411,-7.17773689166638,1,1
4901,-9.39229277949148,1,1
1840,-6.4806850447206985,2,1
2315,2.5268233635257653,1,0
4482,6.929255092731825,1,0
9320,9.959837619114033,0,0
6811,11.589259709170015,3,0
52,3.7018287872423334,0,1
7312,-3.553533626344926,1,1
997,1.2506829326390865,2,0
4400,-9.703435338733282,1,1
2441,-11.852702544039513,2,1
8284,-2.9641722746308314,0,1
6257,0.9898832565810568,2,0
4953,-5.77722802040452,0,1
4499,-8.976276126323313,0,1
965,9.271510406234686,1,0
1155,-3.118142472683643,2,1
5611,-8.722365332043218,3,1
9099,2.7338945622177415,1,0
5347,-1.2357221407686616,2,1
6174,2.9706980697663132,2,0
7178,0.3004749443795915,2,1
4106,5.836975927033587,1,0
609,0.8753764591667135,2,0
4833,6.581112155764876,1,0
1581,-7.49022329735626,1,1
7301,4.720880974683381,3,0
6194,-10.204867214384368,1,1
957,0.612981335765749,1,1
1195,-15.696991407568678,2,1
329,-6.819076910766734,3,1
172,-8.870266976560234,0,1
2578,-1.8408791493591627,2,1
7306,11.137138155118729,1,1
8039,2.842778030272676,1,0
9973,-6.511445620849246,2,1
7124,2.0219899688974325,1,0
6278,-4.568892622478963,1,1
652,6.091733817664692,2,0
3996,-7.76387962273455,2,1
5689,-7.082233988406831,3,1
4516,-0.2098787399353016,1,1
2681,9.47033717119833,2,0
5355,5.053634063607666,2,0
8551,-3.3676986010892414,2,1
6130,-8.570734797115664,1,1
3112,4.257454560038709,3,0
3218,10.075130865921167,3,0
8953,1.4532111733555118,2,0
7229,-8.024771498602245,2,1
6586,-5.239185068938584,2,1
4640,-8.052603401888582,1,1
6271,3.50596114515898,2,0
7845,5.8978446411154755,2,0
6980,12.948557572587948,1,0
4535,8.759432315434653,3,0
7980,-4.972814633876905,1,1
176,-9.645843299387256,1,1
8053,4.311336861415364,2,1
3276,9.134339597503647,2,0
4030,-3.457609157432914,1,1
8304,4.342696719481986,1,0
1722,0.6215363851714624,1,0
5389,-0.23411943967433224,2,1
5488,1.1409712764138997,2,1
4872,2.1582215612210742,2,0
9118,-7.129021462071372,2,1
8840,6.162884589980585,2,0
5886,14.218369711150036,3,0
6261,8.89529403830367,2,0
7816,-2.771968564101294,2,1
8536,-5.980213517356778,0,1
6155,-2.446036436848401,1,1
2842,-1.837351704191959,1,0
4066,-11.513260828921627,0,1
2041,7.370292689527724,1,0
7696,-1.3081559529575801,2,1
549,-6.466424606331968,3,1
2726,-11.884384456918687,1,1
8507,1.714228046214806,1,1
6966,3.9641314117353117,2,0
4100,3.4758147835776563,2,0
1257,-3.0841145724319006,2,1
5579,-0.5764544588010332,1,1
5436,-8.27520546591509,1,1
1258,-6.578802525462706,2,1
7383,1.7928317564806344,1,1
6544,-12.567390211042746,1,1
1285,4.160188257954081,1,0
7527,14.492663495685225,2,0
6492,10.186159460677393,1,0
5574,-6.0768294536117455,2,1
9480,-4.637128527798416,2,1
2494,10.51735489307241,2,0
1621,-5.42691803749946,0,1
320,-3.2468324790658905,2,1
3806,23.296631135939688,3,1
7827,12.454083471114165,2,0
5990,5.82834730674519,3,0
