,P,Q,A
2021,-20.47299696890951,3,1
3951,-6.1129730377380085,2,1
3341,-5.657933105684572,1,1
799,6.7770658155751295,2,0
6495,7.813366155150593,2,0
5426,2.0947355249300452,1,0
5640,-15.723164853627438,0,1
5399,-9.654426859041992,3,1
7960,7.176239956034404,1,0
9913,1.6862417871140996,1,0
428,3.702834362948739,1,0
8772,-5.586038329123793,2,1
4463,-5.075280158164965,1,1
7735,-8.281695898069504,1,1
6218,7.7236390272113,1,0
7972,-13.113285278969572,0,1
9530,-6.180483068451417,0,1
7489,-10.901959194207715,1,1
5027,10.822511919191713,1,0
6833,-22.081106013991537,3,1
8926,11.381114113256547,3,0
8223,-6.656978164544341,1,1
9861,-12.106869683049975,1,1
7955,11.709565963853436,2,0
5999,4.781384059431351,1,0
7652,8.36310039626131,1,0
8120,6.9800968970773685,2,0
1617,-3.147259085267231,2,1
4603,1.5948813890827565,1,0
5863,2.9434537582810516,3,0
3305,4.765687580045853,2,0
6235,4.521699349602723,1,0
3740,-9.668993923986852,1,1
2582,3.7047975381758276,1,0
2788,14.916486299554169,1,0
8649,-17.72391631010391,3,1
5829,6.866950045561761,3,0
3571,-12.208747781726675,2,1
8291,13.385609342520612,1,0
4469,1.9917255997616703,3,0
2770,-14.220725662662684,2,1
8777,-7.677263969917173,2,1
256,0.21244056652532528,1,0
2334,2.963236339090732,1,0
604,-12.756219498561876,3,1
4562,-6.354495700996654,3,1
8903,9.668193803858927,2,0
2002,-12.34684346698845,2,1
4512,-6.7986418939568,3,1
9413,15.425041380240675,1,0
4926,-16.06374895920582,2,1
8595,-17.483511298250843,1,1
3612,-5.8901999242874385,2,1
1483,3.6883353108032266,0,0
6099,3.2300311879377928,0,0
7543,3.15541165239522,1,0
5814,5.269907706779899,1,0
2614,5.254355806252306,2,0
2846,-16.045709291405377,3,1
6936,3.603738322501185,1,0
3155,-13.619499465323116,1,1
3150,0.17428319403831338,0,0
6179,-2.039000055186088,3,0
4679,0.8217937647164577,1,1
1157,-7.092423339351948,1,1
995,13.824447072353369,1,0
1964,-17.800853765193978,2,1
9792,-16.820088875068528,0,1
3821,-4.362511641707488,1,1
8009,2.7571763382597707,2,0
6060,-17.552955599375217,1,1
4730,-16.732395104394687,2,1
6432,-1.5652530367128343,2,0
4776,-7.179115555012587,2,1
2154,15.52459694254473,1,0
1083,5.821015742702558,2,0
3313,4.101549509643828,1,0
53,-11.681287655330348,2,1
6643,7.895644797933831,2,0
8658,-16.42041450968221,1,1
8927,4.794144077682652,3,0
4647,5.935538987811054,1,0
3916,0.01652877976764011,0,0
5474,3.6768579773095555,1,0
3882,3.3503975949156626,1,0
4789,1.4205166243305747,2,0
7166,9.652612259764412,1,0
4258,-18.19759024350731,0,1
8521,-10.642750526043539,2,1
7255,-2.958888508088373,3,1
75,0.7416846712029507,1,0
8708,-1.4022284901077002,3,1
1121,1.6565420628974676,1,0
7667,-16.415554370695904,1,1
7225,5.341814195544751,1,0
3860,-14.301200492713702,3,1
367,-14.68084046939515,1,1
9850,12.241115522584616,2,0
1041,5.112249902459668,2,0
4384,-13.327212400446658,1,1
92,-16.148111556792948,2,1
3154,5.686765911384929,2,0
501,-15.96184753942701,2,1
1204,2.1350503594964048,1,0
949,-5.830232102738359,0,1
3761,-14.91063092011121,2,1
291,9.830497050375284,2,0
9678,-4.379892474064755,3,1
8102,-17.456678085044913,1,1
1851,-13.191623815470747,1,1
9751,5.825935099206709,1,0
905,-2.0542079886586126,1,1
6349,-15.354068979645728,1,1
4064,2.9285940023473604,1,0
5702,-11.341855145921853,1,1
7552,-16.15819649497727,2,1
1329,4.815103366902755,1,0
8489,-10.348701844234121,2,1
3232,-16.661698040456567,1,1
8930,4.90119291510626,0,0
1836,3.6099920808953163,0,0
534,5.81270659281575,2,0
4480,-15.893430688488115,2,1
5762,16.842598982159213,0,0
4915,-2.963143760112848,0,0
5920,1.8019116037383098,3,0
1089,-4.35562711814561,1,1
194,12.541315493146909,2,0
9543,10.455317977730951,2,0
5817,-14.49788899219839,1,1
8199,7.24001363385894,3,0
8596,-11.739256915710602,3,1
7141,0.4134026414305825,1,0
455,7.234947337498177,3,0
3596,8.772039524430166,1,0
7639,3.840168764614824,2,0
4875,0.8041690427359518,2,0
3755,-8.233974208834098,1,1
639,-11.550978266144353,2,1
5135,-9.519738158395583,2,1
7006,1.9511768272975119,2,0
5932,-13.163745596166688,1,1
5191,7.799599697707297,0,0
5298,-16.87855980415705,3,1
3053,-16.915570681647885,0,1
3411,-14.677736891666381,1,1
4901,-16.89229277949148,1,1
1840,-13.980685044720698,2,1
2315,2.5268233635257653,1,0
4482,6.929255092731825,1,0
9320,9.959837619114033,0,0
6811,11.589259709170015,3,0
52,-3.7981712127576666,0,1
7312,-11.053533626344926,1,1
997,1.2506829326390865,2,0
4400,-17.203435338733282,1,1
2441,-19.352702544039513,2,1
8284,-10.464172274630831,0,1
6257,0.9898832565810568,2,0
4953,-13.277228020404518,0,1
4499,-16.476276126323313,0,1
965,9.271510406234686,1,0
1155,-10.618142472683644,2,1
5611,-16.222365332043218,3,1
9099,2.7338945622177415,1,0
5347,-8.735722140768662,2,1
6174,2.9706980697663132,2,0
7178,-7.199525055620408,2,1
4106,5.836975927033587,1,0
609,0.8753764591667135,2,0
4833,6.581112155764876,1,0
1581,-14.99022329735626,1,1
7301,4.720880974683381,3,0
6194,-17.70486721438437,1,1
957,-6.887018664234251,1,1
1195,-23.196991407568678,2,1
329,-14.319076910766734,3,1
172,-16.370266976560234,0,1
2578,-9.340879149359163,2,1
7306,3.6371381551187287,1,1
8039,2.842778030272676,1,0
9973,-14.011445620849246,2,1
7124,2.0219899688974325,1,0
6278,-12.068892622478964,1,1
652,6.091733817664692,2,0
3996,-15.263879622734551,2,1
5689,-14.58223398840683,3,1
4516,-7.709878739935301,1,1
2681,9.47033717119833,2,0
5355,5.053634063607666,2,0
8551,-10.867698601089241,2,1
6130,-16.070734797115666,1,1
3112,4.257454560038709,3,0
3218,10.075130865921167,3,0
8953,1.4532111733555118,2,0
7229,-15.524771498602247,2,1
6586,-12.739185068938585,2,1
4640,-15.552603401888584,1,1
6271,3.50596114515898,2,0
7845,5.8978446411154755,2,0
6980,12.948557572587948,1,0
4535,8.759432315434653,3,0
7980,-12.472814633876904,1,1
176,-17.145843299387256,1,1
8053,-3.1886631385846362,2,1
3276,9.134339597503647,2,0
4030,-10.957609157432914,1,1
8304,4.342696719481986,1,0
1722,0.6215363851714624,1,0
5389,-7.734119439674332,2,1
5488,-6.359028723586101,2,1
4872,2.1582215612210742,2,0
9118,-14.629021462071371,2,1
8840,6.162884589980585,2,0
5886,14.218369711150036,3,0
6261,8.89529403830367,2,0
7816,-10.271968564101295,2,1
8536,-13.480213517356777,0,1
6155,-9.9460364368484,1,1
2842,-1.837351704191959,1,0
4066,-19.013260828921624,0,1
2041,7.370292689527724,1,0
7696,-8.80815595295758,2,1
549,-13.966424606331968,3,1
2726,-19.38438445691869,1,1
8507,-5.785771953785194,1,1
6966,3.9641314117353117,2,0
4100,3.4758147835776563,2,0
1257,-10.5841145724319,2,1
5579,-8.076454458801033,1,1
5436,-15.775205465915091,1,1
1258,-14.078802525462704,2,1
7383,-5.707168243519366,1,1
6544,-20.067390211042746,1,1
1285,4.160188257954081,1,0
7527,14.492663495685225,2,0
6492,10.186159460677393,1,0
