,P,Q,A
2021,-9.47299696890951,3,1
3951,4.8870269622619915,2,1
3341,5.342066894315428,1,1
799,6.7770658155751295,2,0
6495,7.813366155150593,2,0
5426,2.0947355249300452,1,0
5640,-4.723164853627438,0,1
5399,1.3455731409580083,3,1
7960,7.176239956034404,1,0
9913,1.6862417871140996,1,0
428,3.702834362948739,1,0
8772,5.413961670876207,2,1
4463,5.924719841835035,1,1
7735,2.7183041019304963,1,1
6218,7.7236390272113,1,0
7972,-2.1132852789695726,0,1
9530,4.819516931548583,0,1
7489,0.09804080579228479,1,1
5027,10.822511919191713,1,0
6833,-11.081106013991535,3,1
8926,11.381114113256547,3,0
8223,4.343021835455659,1,1
9861,-1.1068696830499758,1,1
7955,11.709565963853436,2,0
5999,4.781384059431351,1,0
7652,8.36310039626131,1,0
8120,6.9800968970773685,2,0
1617,7.8527409147327685,2,1
4603,1.5948813890827565,1,0
5863,2.9434537582810516,3,0
3305,4.765687580045853,2,0
6235,4.521699349602723,1,0
3740,1.3310060760131486,1,1
2582,3.7047975381758276,1,0
2788,14.916486299554169,1,0
8649,-6.723916310103908,3,1
5829,6.866950045561761,3,0
3571,-1.208747781726677,2,1
8291,13.385609342520612,1,0
4469,1.9917255997616703,3,0
2770,-3.2207256626626823,2,1
8777,3.322736030082827,2,1
256,0.21244056652532528,1,0
2334,2.963236339090732,1,0
604,-1.756219498561876,3,1
4562,4.645504299003346,3,1
8903,9.668193803858927,2,0
2002,-1.3468434669884495,2,1
4512,4.2013581060432,3,1
9413,15.425041380240675,1,0
4926,-5.063748959205821,2,1
8595,-6.483511298250844,1,1
3612,5.1098000757125615,2,1
1483,3.6883353108032266,0,0
6099,3.2300311879377928,0,0
7543,3.15541165239522,1,0
5814,5.269907706779899,1,0
2614,5.254355806252306,2,0
2846,-5.045709291405378,3,1
6936,3.603738322501185,1,0
3155,-2.619499465323117,1,1
3150,0.17428319403831338,0,0
6179,-2.039000055186088,3,0
4679,11.821793764716457,1,1
1157,3.9075766606480524,1,1
995,13.824447072353369,1,0
1964,-6.800853765193978,2,1
9792,-5.82008887506853,0,1
3821,6.637488358292512,1,1
8009,2.7571763382597707,2,0
6060,-6.552955599375217,1,1
4730,-5.732395104394685,2,1
6432,-1.5652530367128343,2,0
4776,3.820884444987412,2,1
2154,15.52459694254473,1,0
1083,5.821015742702558,2,0
3313,4.101549509643828,1,0
53,-0.6812876553303472,2,1
6643,7.895644797933831,2,0
8658,-5.420414509682211,1,1
8927,4.794144077682652,3,0
4647,5.935538987811054,1,0
3916,0.01652877976764011,0,0
