,R,Q,A
6553,7.700539545615733,0,0
7360,6.353751123179521,2,0
3793,4.561769234606643,2,1
2177,1.0650299161377053,2,1
1395,10.035811457394972,2,1
1523,9.090310356275355,1,0
939,3.63102693585558,1,0
6692,3.75061726637112,2,0
3335,3.743776819630418,2,0
1139,10.719693936792293,1,0
1170,0.16330773031699142,2,1
450,6.855300684768,0,0
4271,1.1852695515188443,1,1
5167,5.025405751706778,3,0
4020,8.927402493713444,3,1
1027,8.174476172213495,3,1
2859,1.7800105079691366,1,0
1746,0.07561537924342776,1,1
4631,1.9201547119263032,3,0
5388,1.1947920810795216,3,0
5603,0.6001255101971288,3,0
1287,4.323514389590765,1,0
1325,12.969733406925286,2,0
4738,7.771112706003584,2,0
1002,3.8261323248161467,2,1
6886,4.986544912101967,2,0
6495,2.4179270327961784,0,0
1924,3.7271360091231713,1,0
507,7.6542045824708875,0,0
1554,3.379222363630703,1,1
5304,2.4558415272772827,2,0
4921,0.5654948706886938,2,1
3276,11.416900810853635,2,0
2263,6.179110072257615,3,1
6496,2.50034862638474,2,0
3026,5.498892990872408,2,0
713,5.685032831837395,1,0
3780,3.0785621350620076,2,0
5987,5.788563388496319,2,0
7408,8.205091686025888,1,0
41,12.306787371621631,3,0
4833,8.000231060063973,1,0
2273,12.83979621805208,3,1
4828,3.254937775296119,2,1
3094,6.7592959598461455,2,0
3267,0.3370612859149036,3,1
6141,5.366555176343169,2,0
5540,4.170230782783843,2,0
2063,3.042016200534187,3,1
1226,2.796478258519505,0,1
4529,5.919841355744072,0,1
2181,6.848458317131264,3,0
2934,1.3635207708059633,2,1
3505,3.07256452654598,2,1
3134,6.697841156770693,2,1
6250,6.237150696721841,2,0
7149,4.932461940602252,2,0
161,1.2458463830907625,2,0
2290,3.2595154810896623,1,0
6771,1.3102671286090224,1,0
6804,14.668377454037156,0,0
100,8.236185421211697,1,1
5802,5.855410400988934,1,0
4141,3.4073323399989803,3,0
612,4.820470029689991,1,0
4629,1.443301276886947,1,1
4489,10.486173689594395,0,0
53,4.884382845969192,2,1
3940,7.277256328834449,1,0
5182,5.80765280083331,1,0
4403,11.29774995827475,2,0
2732,-0.1984542749850775,2,1
4824,1.810637281262264,1,1
1767,2.9690864823243928,2,0
2760,7.531997236707287,1,0
7389,2.756338316366111,2,0
2827,1.2949743671205616,3,0
3089,2.687563905578546,1,0
1467,0.47241771115465525,1,1
3993,3.471191905035656,1,0
1769,0.6780833699411576,0,0
3708,9.260439533636987,2,1
3786,1.7949240142579592,1,0
3249,6.5819118866568935,1,1
4914,4.535352589023383,2,0
6051,3.055944549450537,0,0
6979,5.078924367190702,1,0
6006,2.0424557518243396,3,0
2807,0.5546427741778963,0,1
5888,3.513533230699288,2,0
2352,0.7895991368486412,2,1
7027,18.223330388933963,3,0
1041,4.497654799915746,2,0
3442,4.7147477622544045,2,1
6162,4.5004812788915185,1,0
4756,0.2653177528009216,1,1
457,1.7558419634222249,1,1
4999,0.9030663382054225,2,0
1545,4.121793240228614,2,0
2638,3.4067326434834717,2,1
2016,0.9708206433075608,3,1
3453,8.499610490459924,1,1
3214,-1.2442523415237523,3,1
3519,-1.1659696622718085,2,1
3596,7.154933366857412,1,0
