,Y
3567,0
4666,1
3569,1
3744,1
998,0
4906,0
688,0
2390,1
53,0
4629,0
1845,1
2780,1
3860,1
12,1
3035,1
4990,1
223,0
1743,0
371,0
2627,0
3020,1
3031,1
139,0
84,0
3764,1
536,1
4320,0
2756,1
2703,1
2028,1
1494,1
647,1
682,0
3117,0
4197,0
2628,0
36,0
407,1
1887,0
3929,1
1226,0
2006,1
2679,0
4077,0
3772,0
3030,0
1310,0
4297,0
178,0
4401,0
2299,1
3780,1
162,0
2386,1
4071,1
662,1
3433,0
1432,1
1026,0
735,0
1166,1
2877,1
1471,0
216,1
4627,0
4050,0
3974,0
3404,1
1860,1
2887,0
2229,0
2524,0
4487,0
2358,0
845,1
4961,0
4898,0
3897,0
3900,0
110,0
1961,1
1479,1
4761,0
1869,0
2,0
1515,1
1451,0
2359,0
588,0
3679,1
304,1
3595,0
498,1
965,0
406,0
4540,0
2713,0
4920,1
4160,1
1138,1
3046,0
554,0
4388,0
4812,0
3829,0
1013,1
2050,0
2429,1
2705,0
3422,0
623,0
2862,1
1925,0
1717,0
4293,0
4976,0
3314,1
2742,0
4649,0
4885,1
260,0
1985,1
1562,0
3563,1
2387,0
1668,1
4611,1
1009,1
2616,1
538,1
927,1
761,1
518,0
1131,0
3330,0
1840,0
665,1
1353,0
4675,0
1724,1
355,0
2514,1
2210,1
508,0
3043,0
1089,0
148,0
4362,1
1851,0
17,0
3418,0
1043,1
851,1
2384,1
1947,1
4477,1
3250,0
878,0
4827,0
3827,1
913,0
54,0
2582,0
898,0
1355,1
1168,0
2820,0
4530,1
2188,1
1678,1
2345,0
4716,0
2689,0
4680,0
3216,0
3519,0
1517,0
2442,1
3644,0
1651,0
1641,0
1950,0
2395,1
966,0
3136,1
1931,0
2197,0
1555,0
1626,1
3161,0
1086,1
2590,0
65,0
460,1
2430,1
3135,0
1197,1
4674,1
3970,1
477,1
429,0
2663,1
4856,1
1933,1
4527,0
4882,1
3167,0
3523,0
1271,1
3199,0
2435,1
1496,0
4012,1
4723,0
96,1
4402,0
4753,0
1514,0
3146,0
3705,0
573,0
3084,1
4105,0
4582,0
1076,0
2236,0
4967,0
4074,0
1565,0
2312,0
4519,0
2623,0
2794,0
2708,0
745,1
1468,0
3714,0
4930,1
1689,1
3790,0
3283,1
1312,1
4241,1
3928,0
1097,1
4543,1
1828,0
3233,0
3668,1
1377,0
4901,0
1019,0
2994,0
4442,0
2449,0
1749,0
2625,1
2013,1
4870,1
1527,0
4177,1
1467,1
4015,0
679,1
2601,1
1141,1
1448,1
151,1
4149,0
3830,0
2128,0
3207,0
3968,0
4180,0
4263,1
896,0
937,1
4184,1
2086,0
644,0
174,1
2399,0
258,0
390,0
1785,0
875,1
1414,0
3467,1
4098,1
2492,1
3058,1
2827,0
447,1
2140,1
2919,0
4439,0
4138,1
710,0
400,0
1923,0
60,1
1809,1
1853,1
4161,1
4745,0
2292,1
1422,1
2886,1
4640,0
1067,1
1232,1
4841,0
3719,0
3428,0
4350,0
2883,0
897,0
892,0
1130,1
373,0
4441,0
3357,1
2290,1
3019,0
66,0
1765,0
3536,0
2960,1
3421,0
1962,0
2204,0
1338,0
4581,0
1304,1
1602,0
1620,1
4418,0
1333,0
694,1
437,0
3835,0
149,1
2151,1
1633,0
1531,0
2545,0
671,0
212,0
259,0
3697,0
4132,1
4600,1
933,1
4842,1
3368,0
3674,1
3984,1
3576,0
1482,0
2576,1
3568,1
3451,1
2242,0
3240,0
3807,1
2693,1
4621,0
2438,1
4756,0
1229,1
1770,1
2267,1
3379,1
902,0
547,0
338,1
4216,1
2895,0
1411,1
2439,0
3494,0
1552,0
1041,1
2861,0
418,0
107,0
3087,1
2294,0
4809,1
4251,1
2323,1
2933,0
2508,0
1909,0
426,1
2896,1
1682,0
4755,0
482,1
3452,1
2001,1
4282,1
3793,1
2620,1
1256,1
2583,1
3203,0
2957,1
3873,0
4862,0
4265,0
2958,0
1309,1
