,R,Q,A
2021,0.43551850332934805,3,1
3951,9.023314560745266,2,1
3341,11.35199579139842,1,1
799,9.52314348029448,2,0
6495,7.763201259727468,2,0
5426,3.594415791038286,1,0
5640,2.1668189267464797,0,1
5399,3.8546508473147156,3,1
7960,3.865387551681347,1,0
9913,0.6997136074500991,1,0
428,2.9858741551264205,1,0
8772,11.465044261499116,2,1
4463,8.930161988497463,1,1
7735,5.414952527602283,1,1
6218,6.136976957184384,1,0
7972,3.5641701491774276,0,1
9530,6.678160158542797,0,1
7489,5.007505519101491,1,1
5027,11.373410945882393,1,0
6833,-1.5710851178201293,3,1
8926,10.154917330936598,3,0
8223,7.633082298654541,1,1
9861,4.9612102625809555,1,1
7955,9.587384715030758,2,0
5999,5.423822051906439,1,0
7652,6.79734536591777,1,0
8120,7.082394813038601,2,0
1617,9.885465499632101,2,1
4603,3.117473195038813,1,0
5863,3.0057709254608524,3,0
3305,5.160181604507018,2,0
6235,7.015070568237263,1,0
3740,6.894220504921554,1,1
2582,4.156610387726937,1,0
2788,10.40124502445334,1,0
8649,-0.34954120967731783,3,1
5829,6.402929837242172,3,0
3571,-0.3705755106093367,2,1
8291,15.551438902132823,1,0
4469,4.853036294563522,3,0
2770,3.3026133003821068,2,1
8777,7.924817355624864,2,1
256,4.787935482770691,1,0
2334,4.978495977371066,1,0
604,4.079060457821903,3,1
4562,8.813920837192512,3,1
8903,10.249247472679961,2,0
2002,0.07135477077874253,2,1
4512,5.870009268346761,3,1
9413,9.967182629826992,1,0
4926,2.267981050963969,2,1
8595,2.241230350120029,1,1
3612,6.897397388955527,2,1
1483,2.7577911190489237,0,0
6099,1.442327064878374,0,0
7543,1.1688293692742309,1,0
5814,1.6248391614991378,1,0
2614,6.213604375277218,2,0
2846,2.5339249760466576,3,1
6936,5.906758349975017,1,0
3155,1.006958698895708,1,1
3150,3.60560988782419,0,0
6179,0.6237435920068249,3,0
4679,20.334434298988164,1,1
1157,9.26213361322365,1,1
995,14.857264047609462,1,0
1964,-1.2769226570632202,2,1
9792,-0.673518707172684,0,1
3821,13.309042787210915,1,1
8009,2.4761665936693045,2,0
6060,1.7314111105608303,1,1
4730,0.750428746583184,2,1
6432,1.4343563068333118,2,0
4776,9.193907463858615,2,1
2154,12.57141061355821,1,0
1083,3.631369837843001,2,0
3313,2.9328729539729887,1,0
53,4.384382845969192,2,1
6643,6.92141448085969,2,0
8658,0.06048978114350989,1,1
8927,4.362882005572336,3,0
4647,2.508156150524542,1,0
3916,1.2084414186642418,0,0
5474,3.8651756831483235,1,0
3882,1.781564890510406,1,0
4789,1.680007861144139,2,0
7166,6.2008238226250025,1,0
4258,-0.7472284787941128,0,1
8521,6.319643104069302,2,1
7255,11.80249166245475,3,1
75,1.2987366582230593,1,0
8708,17.66632494134967,3,1
1121,1.0006479480819317,1,0
7667,-0.5836570661224592,1,1
7225,6.422030192216264,1,0
3860,-0.702080243815155,3,1
367,-1.0607263276897134,1,1
9850,13.25838941937169,2,0
1041,4.497654799915746,2,0
4384,1.6665076660907427,1,1
92,0.8016442508626791,2,1
3154,5.229491371353755,2,0
501,1.2512859130515155,2,1
1204,2.4711676877792073,1,0
949,7.190607727744709,0,1
3761,0.24585598763327265,2,1
291,9.513252982951112,2,0
9678,11.717909645101447,3,1
8102,1.736263810214703,1,1
1851,1.9774781350413972,1,1
9751,5.718583121536355,1,0
905,12.30102534371963,1,1
6349,1.2709578182274686,1,1
4064,3.286649934118374,1,0
5702,4.820880556011576,1,1
