,Y
8401,0
3169,1
1083,1
6244,0
1893,0
418,1
4111,1
5444,1
5593,0
7595,0
4003,0
2893,0
8357,1
6457,1
5802,0
5532,1
1017,1
3217,1
5351,1
3075,1
3865,0
1025,1
4943,1
3421,1
8071,0
5535,0
2346,0
5566,0
7994,0
4499,0
7767,0
8087,0
5467,1
7006,0
1649,0
2075,0
2181,0
3816,0
2240,0
8282,1
5914,0
1489,0
4830,0
4670,0
6713,0
1269,0
3208,0
5247,0
6693,0
7831,0
3160,1
3073,1
7171,1
6393,0
303,1
3674,0
1927,1
5156,0
5727,1
4452,1
4868,0
1445,1
6270,0
3502,0
3138,0
7026,1
4542,0
2227,0
6189,0
4788,0
1923,1
7589,0
6182,1
3343,0
4370,0
2501,0
3951,0
6764,0
4432,1
2575,0
6246,1
2371,0
6232,1
6052,0
6188,0
2120,0
4932,0
6760,1
7513,0
2372,1
7851,0
1587,0
6237,0
5525,1
7613,1
5993,1
5347,0
2793,1
6092,1
3192,0
6604,1
5127,1
1692,0
2578,1
7645,1
7180,1
357,1
1772,1
6245,0
6064,1
7286,0
874,0
4650,0
2870,0
6643,0
3720,1
189,1
4799,0
965,0
1574,0
2789,1
7030,1
6213,1
1556,1
3314,0
3373,1
8399,0
7671,0
1023,0
3882,1
4463,0
2741,0
3216,1
1345,0
148,0
7097,1
6920,0
2799,1
5429,0
2571,0
4268,1
474,0
7237,0
4204,1
549,0
1749,0
7528,0
5555,1
2109,0
4090,0
1782,0
4563,1
6082,0
4485,1
2936,0
7806,1
1391,0
3996,1
201,1
6172,1
1988,0
3543,1
445,1
4886,1
553,0
1812,0
2696,1
1789,0
6842,0
8226,1
313,0
6096,1
7073,1
1640,0
3879,1
180,0
4973,0
3589,0
5393,1
1996,0
5558,1
3915,0
4559,1
1433,0
5516,1
5646,0
1020,0
6876,0
178,1
7368,1
4053,1
7423,0
5823,0
3900,0
3399,0
2166,1
7334,0
6948,0
5658,0
3441,1
8228,0
2445,0
7317,0
1723,1
613,1
7537,1
5041,1
5324,1
2127,0
1555,0
1508,0
648,1
444,0
8294,0
4589,0
6250,0
2766,1
1686,0
2014,0
2165,1
4597,0
5475,1
1150,1
3920,0
459,0
4791,1
1888,0
6673,0
7301,0
8239,1
2749,0
6998,0
6241,0
4570,0
7170,0
5450,1
4142,0
2050,0
5282,1
5596,0
7534,1
3977,0
7396,1
6007,0
7999,0
4337,0
1736,1
1506,1
1748,1
359,1
6258,1
822,1
7731,1
4510,0
3988,0
5873,1
567,1
6508,0
1501,0
5572,0
4207,1
3049,1
1061,0
3328,1
355,0
7559,1
3266,0
7560,0
5046,1
3744,1
5732,1
8073,1
5203,0
1314,1
6276,1
67,0
6081,1
3393,1
7481,1
3845,1
196,0
4286,0
5945,1
3632,1
7260,0
3613,1
3592,1
522,0
4717,0
2192,0
1651,1
2981,1
747,0
3714,0
3181,0
495,0
6575,0
1295,0
2357,0
5871,1
3135,1
7080,1
2257,0
8269,1
3297,1
542,1
6010,1
6090,1
1408,1
1799,0
672,1
2529,1
5466,0
6177,0
2635,0
6131,1
7274,1
2837,1
4210,0
7846,0
2883,0
2191,0
4077,1
2053,0
749,1
8105,0
1853,0
3238,1
2272,0
36,1
6333,0
4153,1
1444,1
4568,0
1674,0
5418,0
2425,0
7519,1
1297,1
3559,0
3099,0
2642,0
7347,0
1880,1
7356,0
8174,1
2143,1
4174,0
1113,0
3668,1
3422,0
705,0
7263,1
5743,0
6104,0
1902,0
4124,1
6987,0
1567,1
3892,0
1705,1
7964,0
7374,0
1285,1
7321,0
6802,1
4162,0
4590,1
7174,1
7329,0
438,1
7993,1
2871,0
2593,0
4792,0
2524,0
6334,0
7817,0
7470,0
7389,0
8065,1
1048,0
6962,1
6375,1
1209,1
321,0
7755,0
4692,0
8066,0
806,0
7202,0
546,1
365,1
6866,1
69,1
2854,1
1316,0
7940,1
4006,1
275,1
7733,1
3794,0
5025,1
7264,1
6968,0
5487,1
3876,1
781,1
8036,0
6827,0
1479,1
7709,0
8042,0
4845,0
2031,1
7369,1
7648,1
7433,1
4798,0
2531,0
4422,1
176,0
5460,0
913,0
8295,0
712,1
5845,1
6556,1
1783,1
4437,0
3094,1
3848,1
7815,1
1214,1
7011,0
2616,1
946,1
5179,1
4780,1
2679,1
5693,0
8238,0
4184,1
2497,0
1583,0
2007,0
6983,0
7552,1
1611,0
5119,1
4632,0
1386,1
6322,0
5319,1
8057,0
7055,0
3182,0
5383,0
4832,0
6559,0
4362,0
4228,0
2388,0
7407,1
4775,0
742,1
5381,1
5627,0
137,0
4096,1
6909,1
6674,0
6797,0
5077,0
1436,1
3757,0
8335,1
6831,1
2304,0
5595,1
452,0
5192,0
6515,0
6565,1
8147,1
6758,1
3164,1
6282,0
5174,1
847,0
7837,1
3814,1
5988,1
1042,0
8375,0
2353,1
5293,0
8192,1
6484,0
7675,0
273,0
8437,1
1745,1
5281,1
3224,1
407,0
203,1
6229,1
4889,1
220,0
4724,0
7598,1
981,0
6167,0
6516,1
787,0
4444,1
1467,0
5682,0
7292,0
3053,1
5335,1
5502,1
3050,0
8142,1
6544,0
2064,1
5548,1
3831,0
6841,0
4546,1
5713,0
6898,1
1881,1
4935,0
1553,1
3070,1
4643,0
7049,0
1203,1
371,1
3222,0
621,1
1346,1
746,1
3805,0
1282,1
312,0
7556,0
2601,0
5133,0
2436,0
6368,1
1006,1
6380,0
2968,1
6762,0
7960,1
3838,0
1522,0
7353,1
4234,0
4132,1
4704,0
3360,1
590,1
5556,1
8086,0
5404,1
1049,1
5336,0
7772,0
6371,0
2658,0
7950,1
2853,0
4525,0
3175,0
8470,0
4551,0
1497,0
7585,1
3562,0
8363,0
5207,0
4236,0
6511,0
7252,0
6323,0
3232,0
6990,1
7478,0
6527,0
930,1
7157,1
1581,1
4030,0
4613,0
221,1
4711,0
5824,0
7154,0
5420,0
8014,0
3024,1
6547,0
1460,1
1677,1
7332,0
3641,0
903,1
3214,0
6481,0
7066,1
212,1
8430,1
1801,1
1691,1
3807,0
8182,1
2476,0
3507,1
