,R,Q,A
4628,7.104557964889927,2,0
2169,8.8803908051369,2,0
4138,5.527820899965001,2,0
1397,10.590081748724137,3,0
2460,12.37858515887409,1,0
1322,4.24172708212565,2,0
4405,12.990774977913194,0,0
4938,5.627416101284478,2,0
1295,3.006622904934771,1,0
4648,6.972194312263362,1,0
1991,1.2842760185055984,0,0
2961,12.397768837396189,0,0
1157,6.453171921249873,2,0
1409,4.385554994269138,1,0
642,14.369442068314042,1,0
2683,6.348797772163309,2,0
1290,3.2000356350240384,1,0
611,4.978009641246388,2,1
3211,15.275270527567026,3,0
4425,2.160970771261433,1,0
5124,5.970263138944148,2,0
3731,5.818258860831215,1,0
994,-0.829220143480712,1,1
455,8.131125615351932,3,0
89,2.6803639194714926,1,1
3276,5.524918815722577,1,0
2016,5.498892990872408,2,0
3528,15.210217450137673,1,0
2068,5.728437016672228,1,0
2359,13.643843782669377,2,0
4422,6.005733756945409,2,0
3794,2.7402404949364096,2,0
4090,2.7095691369003703,1,0
4236,6.490768444868321,2,0
1315,16.45327417770019,0,0
2913,6.416784555845926,1,0
3327,2.160711927668323,1,0
3820,8.433006313764361,1,0
3080,6.219074149177991,0,0
2763,8.67854231241864,2,0
3361,8.495174443890322,1,0
4952,8.316853188584492,1,0
2325,8.244980102152638,1,0
162,-3.919387020165675,3,1
187,4.512705619842295,2,0
1617,3.0456565034809433,0,0
1508,0.9608133986535519,3,0
1485,8.471502533156352,3,0
2584,6.6975888999566955,0,0
3206,2.4205107777055046,2,0
3102,3.5906938989287616,0,0
2724,7.625260333826841,1,0
3066,4.809178829541754,1,0
1528,7.022754489411006,1,0
2260,6.549015691374203,2,0
5114,11.720991399074894,0,0
5362,2.6258004715021563,2,0
1899,20.48875900569296,0,0
2484,6.010672027461965,0,0
2411,9.972766280867763,2,0
5291,1.0593466420729807,2,0
2227,3.5950689541809826,2,0
4608,0.6032869754957535,0,0
1942,4.615287763239044,1,0
4306,2.1781650293604162,2,0
285,14.794039612276524,1,0
4756,7.254456666100145,1,0
2881,7.933560568776074,0,0
454,-1.1516371684520088,0,1
4022,1.590131690741565,1,0
2019,5.327478240229663,2,0
2720,4.853036294563522,3,0
2119,2.7553248930360374,1,0
3638,6.730139879764408,1,0
3734,8.421892789004385,1,0
4819,11.614037073520162,3,0
619,-2.2343549922185098,1,1
4838,3.5404972855383336,1,0
367,-5.060726327689713,1,1
3159,4.5568393823807005,2,0
4752,1.3102671286090224,1,0
5035,2.29447394385926,3,0
3364,2.6587098898990362,0,0
1545,1.2657147669812627,1,0
5044,5.433267084276063,2,0
2017,3.354977412430051,1,0
2771,8.771693909115347,0,0
3436,11.60401021355735,2,0
2794,9.333721946249586,1,0
1552,4.436614006686122,0,0
2236,5.112277364263518,1,0
1793,11.132015605250295,1,0
3968,5.788563388496319,2,0
3526,3.290076234013938,1,0
4569,8.895550661213226,3,0
1477,5.002645012719934,1,0
2188,7.367477104190073,2,0
2192,2.5513389714990153,2,0
714,1.2801213535383287,2,0
2860,10.094315250096034,3,0
1834,7.0958241913321345,2,0
5246,2.6918280240503014,2,0
4906,4.362882005572336,3,0
159,-4.74535969919705,0,1
1592,7.87583047174725,2,0
2732,9.228602301849355,2,0
2213,3.7199359528838762,2,0
5305,6.1792979603574505,2,0
4839,4.228841012475599,2,0
3636,3.7522237522410977,0,0
1921,4.652242037880175,0,0
1068,1.4510085663165353,0,0
4889,7.012473797340268,2,0
1168,6.438497744369856,2,0
1531,7.63113455903169,2,0
2842,5.851734843353577,2,0
1755,4.305735044249762,2,0
4629,9.47891350464166,2,0
3888,1.038628438283816,1,0
4127,8.369557912849947,2,0
232,12.29007837323495,3,0
4143,4.5004812788915185,1,0
3362,2.706791525383529,2,0
2156,6.2829913291812405,0,0
3504,3.3361873980124614,1,0
3902,4.19132081856684,1,0
3394,6.991934244612433,1,0
2097,2.7899020351289967,1,0
795,-2.1485030328015515,2,1
5261,1.9858970849204725,1,0
213,6.722774377717734,1,0
1342,3.981621820750156,1,0
2224,6.291575879964826,3,0
3812,1.1569477910105812,2,0
4712,7.623741617550852,0,0
3144,3.9198559575144643,0,0
3803,8.188752494669664,1,0
909,-1.2954441262295457,1,1
2689,2.412880900369721,2,0
1286,7.238153887641394,2,0
1371,13.523918117255938,2,0
1444,9.823651017810157,2,0
806,-1.8088906231688275,2,1
5276,3.3284817223088385,2,0
1561,12.57141061355821,1,0
5398,2.538465930833039,0,0
2164,6.711063712335813,2,0
4027,5.737577530312582,2,0
837,-2.393568437386664,1,1
2133,8.082423611736484,0,0
3334,1.4280696385879832,2,0
5128,4.090240661843778,0,0
2454,3.368274822846992,0,0
4766,1.2446357916694055,2,0
848,2.453436572440681,1,0
5381,6.551794020294601,2,0
2173,10.08240292883667,0,0
400,0.37245601450047694,3,1
2963,13.533533305438507,2,0
4779,16.59930050642778,2,0
158,8.361456438797886,0,1
1820,3.5451109303727195,2,0
5099,12.847649003281706,0,0
4408,3.1726883522746565,2,0
2092,3.863986545204929,2,0
1123,1.8932362192682235,2,0
1416,3.9927075408359265,0,0
4119,16.175783509863486,1,0
4865,2.8534950023301033,1,0
3444,4.423218410960606,0,0
2426,1.781564890510406,1,0
4224,5.337855899604226,1,0
1868,4.141526935079592,3,0
4277,3.2661860574922477,3,0
1605,7.002866505060675,1,0
4386,6.383525932000048,1,0
1644,3.553769768321933,1,0
2631,8.83910990502746,3,0
2199,13.950870843052304,2,0
1225,2.7577911190489237,0,0
68,5.23691708335567,1,0
3625,3.6871491881330836,2,0
348,6.778237027764629,3,0
3176,6.710877679489073,2,0
3163,5.80765280083331,1,0
4365,0.8282174055173459,2,0
2099,6.23280787602212,3,0
4734,5.465180715346532,2,0
3126,7.192858951362771,1,0
1958,6.789589677322217,2,0
3815,1.5919526016565304,1,0
2392,6.86837954084984,1,0
3258,3.5070989191108284,2,0
903,-3.5004820286315,1,1
1143,8.062980679245358,1,0
2449,12.011479669806295,3,0
2861,7.9472357870928665,0,0
321,-1.579024657995964,2,1
863,-2.5964730889049363,1,1
357,7.057291179676925,2,0
4774,16.824217416215774,1,0
5045,1.8985443814654508,1,0
1194,1.5381132308834473,2,0
3875,8.20813190606154,1,0
3516,1.3224855259373762,2,0
760,4.179029541954932,2,0
896,6.888534160056231,1,0
299,-3.7556446822731084,0,1
1736,0.743532508075115,2,0
706,-4.9293179267810245,2,1
3848,8.04652587191626,2,0
1354,6.981713552305951,2,0
4947,1.4116048907950585,2,0
5200,3.7019327643654565,1,0
794,-3.395621053152068,2,1
85,-4.4125858290975195,1,1
3837,6.049168062418796,1,0
1961,5.314562288065021,0,0
3909,11.059352602164473,0,0
1555,4.972764490286409,2,0
588,6.88740188365914,1,0
2946,5.71631685915392,2,0
4392,7.159973612468299,1,0
2849,7.85703644371964,1,0
2975,5.18543352267365,2,0
432,7.164307263926078,2,0
3162,4.5253012060606554,1,0
2934,1.92081357059843,0,0
217,1.1873709804353183,2,1
1309,4.738864288737108,1,0
5085,0.3816183990069648,2,0
3646,11.763058947059616,1,0
191,8.735528785355651,2,0
5041,7.975031547174467,2,0
3761,2.5147824875869733,1,0
1340,7.560629049150219,3,0
2878,12.725184650523977,2,0
1776,8.249198060697225,1,0
1080,5.351289518212704,2,0
2652,4.76034732737378,2,0
1056,7.669142698656426,2,0
23,-0.19814874633559576,2,1
2515,6.771209324342195,0,0
993,4.349264695136476,0,0
914,16.330283434970553,1,0
1882,11.83176690787921,2,0
5273,16.773716044171486,1,0
1130,0.8519937776408961,2,0
4807,3.2611849222539044,1,0
3458,2.4764916495584473,2,0
143,-3.484172035551467,1,1
374,10.755372114142514,2,0
3338,1.350856590679294,2,0
595,-0.07935002493776899,3,1
5341,6.353751123179521,2,0
2375,1.7949240142579592,1,0
1550,8.942581586602104,0,0
3928,6.829671132590311,1,0
1348,4.03341223705734,0,0
2373,3.0785621350620076,2,0
416,-2.812673997820152,2,1
5131,5.250140590551878,2,0
2274,22.260789214968533,1,0
1662,10.177944114481193,1,0
4393,2.760245228276547,1,0
3494,3.748573698234254,2,0
1864,7.212519543317491,1,0
1064,0.6674414858390342,2,0
2309,5.783866180720974,1,0
1661,5.663685344376562,2,0
713,5.685032831837395,1,0
4757,2.3540855363712803,2,0
974,1.8998333827084517,2,0
2088,3.655750763380495,1,0
76,-3.9388143175190233,2,1
1832,8.153045834999098,3,0
1400,2.0788974341776614,0,0
2703,19.796176583234036,2,0
