,R,Q,A
2021,-4.564481496670652,3,1
3951,4.023314560745266,2,1
3341,6.351995791398419,1,1
799,9.52314348029448,2,0
6495,7.763201259727468,2,0
5426,3.594415791038286,1,0
5640,-2.8331810732535203,0,1
5399,-1.1453491526852844,3,1
7960,3.865387551681347,1,0
9913,0.6997136074500991,1,0
428,2.9858741551264205,1,0
8772,6.465044261499116,2,1
4463,3.9301619884974635,1,1
7735,0.4149525276022832,1,1
6218,6.136976957184384,1,0
7972,-1.4358298508225724,0,1
9530,1.6781601585427968,0,1
7489,0.007505519101490776,1,1
5027,11.373410945882393,1,0
6833,-6.571085117820129,3,1
8926,10.154917330936598,3,0
8223,2.633082298654541,1,1
9861,-0.03878973741904446,1,1
7955,9.587384715030758,2,0
5999,5.423822051906439,1,0
7652,6.79734536591777,1,0
8120,7.082394813038601,2,0
1617,4.885465499632101,2,1
4603,3.117473195038813,1,0
5863,3.0057709254608524,3,0
3305,5.160181604507018,2,0
6235,7.015070568237263,1,0
3740,1.8942205049215541,1,1
2582,4.156610387726937,1,0
2788,10.40124502445334,1,0
8649,-5.349541209677318,3,1
5829,6.402929837242172,3,0
3571,-5.370575510609337,2,1
8291,15.551438902132823,1,0
4469,4.853036294563522,3,0
2770,-1.6973866996178932,2,1
8777,2.924817355624864,2,1
256,4.787935482770691,1,0
2334,4.978495977371066,1,0
604,-0.9209395421780968,3,1
4562,3.813920837192512,3,1
8903,10.249247472679961,2,0
2002,-4.9286452292212575,2,1
4512,0.8700092683467613,3,1
9413,9.967182629826992,1,0
4926,-2.732018949036031,2,1
8595,-2.758769649879971,1,1
3612,1.8973973889555271,2,1
1483,2.7577911190489237,0,0
6099,1.442327064878374,0,0
7543,1.1688293692742309,1,0
5814,1.6248391614991378,1,0
2614,6.213604375277218,2,0
2846,-2.4660750239533424,3,1
6936,5.906758349975017,1,0
3155,-3.993041301104292,1,1
3150,3.60560988782419,0,0
6179,0.6237435920068249,3,0
4679,15.334434298988164,1,1
1157,4.26213361322365,1,1
995,14.857264047609462,1,0
1964,-6.276922657063221,2,1
9792,-5.6735187071726845,0,1
3821,8.309042787210915,1,1
8009,2.4761665936693045,2,0
6060,-3.2685888894391697,1,1
4730,-4.249571253416816,2,1
6432,1.4343563068333118,2,0
4776,4.193907463858615,2,1
2154,12.57141061355821,1,0
1083,3.631369837843001,2,0
3313,2.9328729539729887,1,0
53,-0.615617154030808,2,1
6643,6.92141448085969,2,0
8658,-4.9395102188564906,1,1
8927,4.362882005572336,3,0
4647,2.508156150524542,1,0
3916,1.2084414186642418,0,0
5474,3.8651756831483235,1,0
3882,1.781564890510406,1,0
4789,1.680007861144139,2,0
7166,6.2008238226250025,1,0
4258,-5.747228478794113,0,1
8521,1.3196431040693017,2,1
7255,6.8024916624547505,3,1
75,1.2987366582230593,1,0
8708,12.666324941349671,3,1
1121,1.0006479480819317,1,0
7667,-5.583657066122459,1,1
7225,6.422030192216264,1,0
3860,-5.702080243815155,3,1
367,-6.060726327689713,1,1
9850,13.25838941937169,2,0
1041,4.497654799915746,2,0
4384,-3.3334923339092573,1,1
92,-4.1983557491373205,2,1
3154,5.229491371353755,2,0
501,-3.7487140869484845,2,1
1204,2.4711676877792073,1,0
949,2.190607727744709,0,1
3761,-4.754144012366727,2,1
291,9.513252982951112,2,0
9678,6.717909645101447,3,1
8102,-3.263736189785297,1,1
1851,-3.0225218649586028,1,1
9751,5.718583121536355,1,0
905,7.30102534371963,1,1
6349,-3.7290421817725314,1,1
4064,3.286649934118374,1,0
5702,-0.17911944398842383,1,1
7552,-2.5128139237002767,2,1
1329,4.81392739230757,1,0
8489,1.7538753901999389,2,1
3232,-3.885643859807903,1,1
8930,5.690707983524059,0,0
1836,2.0788974341776614,0,0
534,1.9960329587234258,2,0
4480,-4.842874640734709,2,1
5762,15.211790484510548,0,0
4915,1.3800973602885234,0,0
5920,3.219418166550059,3,0
1089,4.652800641285406,1,1
194,9.807281728659609,2,0
9543,10.190535346591215,2,0
5817,-5.575391244281031,1,1
8199,6.552886618609014,3,0
8596,-2.514882539302869,3,1
7141,1.7444705310615358,1,0
455,8.131125615351932,3,0
3596,7.154933366857412,1,0
7639,7.765352439472192,2,0
4875,0.9262891119340897,2,0
3755,1.1629063241372997,1,1
639,-2.2198531792009764,2,1
5135,-3.413697576085892,2,1
7006,1.7925214054117615,2,0
5932,-0.3407707457769682,1,1
5191,5.429072827431453,0,0
5298,-5.303787697973096,3,1
3053,-4.368314825964264,0,1
3411,-5.374976214918379,1,1
4901,-4.908816699755895,1,1
1840,0.07533481823226396,2,1
2315,3.3148728480093164,1,0
4482,7.625260333826841,1,0
9320,11.720991399074894,0,0
6811,8.629695776597211,3,0
52,2.449317180722751,0,1
7312,-2.648872899291449,1,1
997,1.4320743718847084,2,0
4400,-4.600550751073134,1,1
2441,-6.212212436568528,2,1
8284,0.6638089154939806,0,1
6257,1.8592476273534169,2,0
4953,-1.5959694833548257,0,1
4499,-6.197402129794403,0,1
965,8.44194982855829,1,0
1155,-1.1962048853440823,2,1
5611,-2.014943629200479,3,1
9099,1.5911751478876879,1,0
5347,-0.024090014781791957,2,1
6174,4.507828826370088,2,0
7178,3.8564831789365357,2,1
4106,3.3501712427338877,1,0
609,1.7963877524371175,2,0
4833,8.000231060063973,1,0
1581,-4.004110416863706,1,1
7301,7.524240486693285,3,0
6194,-2.382267590623157,1,1
957,1.0834071384050716,1,1
1195,-6.0458258297297185,2,1
329,-4.976234585273323,3,1
172,-3.9528682481036896,0,1
2578,0.10022482225502571,2,1
7306,14.088834865859045,1,1
8039,2.6284555351909114,1,0
9973,-5.183253177684801,2,1
7124,0.7531304385997993,1,0
6278,-2.0766302470445,1,1
652,4.359203381022559,2,0
3996,-2.441973080491179,2,1
